subNum	 trialNo	 variability	 targPresent	 response	  accuracy
13	 39	 1.70	 0	 r	 1
13	 40	 6.00	 1	 l	 1
13	 41	 6.00	 0	 r	 1
13	 42	 6.00	 0	 r	 1
13	 43	 1.70	 0	 r	 1
13	 44	 6.00	 1	 l	 1
13	 45	 1.70	 1	 r	 0
13	 46	 1.70	 1	 r	 0
13	 47	 1.70	 0	 l	 0
13	 48	 6.00	 1	 l	 1
13	 49	 1.70	 1	 l	 1
13	 50	 1.70	 0	 r	 1
13	 51	 1.70	 1	 l	 1
13	 52	 6.00	 0	 r	 1
13	 53	 6.00	 1	 l	 1
13	 54	 1.70	 0	 r	 1
13	 55	 6.00	 1	 l	 1
13	 56	 1.70	 1	 r	 0
13	 57	 1.70	 1	 l	 1
13	 58	 6.00	 1	 l	 1
13	 59	 1.70	 0	 r	 1
13	 60	 6.00	 0	 r	 1
13	 61	 1.70	 0	 r	 1
13	 62	 1.70	 1	 l	 1
13	 63	 6.00	 0	 r	 1
13	 64	 1.70	 0	 r	 1
13	 65	 1.70	 0	 l	 0
13	 66	 6.00	 1	 l	 1
13	 67	 6.00	 1	 l	 1
13	 68	 1.70	 0	 r	 1
13	 69	 6.00	 0	 r	 1
13	 70	 6.00	 0	 r	 1
13	 71	 6.00	 0	 r	 1
13	 72	 1.70	 1	 l	 1
13	 73	 6.00	 0	 r	 1
13	 74	 6.00	 0	 r	 1
13	 75	 6.00	 0	 r	 1
13	 76	 1.70	 0	 l	 0
13	 77	 1.70	 0	 r	 1
13	 78	 1.70	 1	 r	 0
13	 79	 1.70	 0	 l	 0
13	 80	 1.70	 0	 r	 1
14	 1	 1.70	 1	 r	 0
14	 2	 6.00	 1	 l	 1
14	 3	 6.00	 1	 l	 1
14	 4	 1.70	 1	 r	 0
14	 5	 1.70	 0	 r	 1
14	 6	 6.00	 0	 l	 0
14	 7	 6.00	 0	 r	 1
14	 8	 1.70	 0	 r	 1
14	 9	 1.70	 0	 l	 0
14	 10	 6.00	 1	 l	 1
14	 11	 6.00	 1	 l	 1
14	 12	 1.70	 1	 r	 0
14	 13	 1.70	 0	 r	 1
14	 14	 6.00	 1	 l	 1
14	 15	 6.00	 1	 l	 1
14	 16	 6.00	 0	 r	 1
14	 17	 6.00	 1	 l	 1
14	 18	 6.00	 0	 r	 1
14	 19	 6.00	 1	 l	 1
14	 20	 1.70	 1	 r	 0
14	 21	 6.00	 1	 l	 1
14	 22	 6.00	 1	 l	 1
14	 23	 1.70	 1	 r	 0
14	 24	 1.70	 0	 r	 1
14	 25	 6.00	 0	 r	 1
14	 26	 1.70	 1	 l	 1
14	 27	 6.00	 0	 l	 0
14	 28	 1.70	 1	 l	 1
14	 29	 6.00	 0	 r	 1
14	 30	 6.00	 1	 l	 1
14	 31	 1.70	 0	 r	 1
14	 32	 6.00	 1	 l	 1
14	 33	 1.70	 1	 r	 0
14	 34	 6.00	 0	 r	 1
14	 35	 6.00	 1	 l	 1
14	 36	 1.70	 0	 r	 1
14	 37	 6.00	 0	 l	 0
14	 38	 6.00	 1	 l	 1
14	 39	 6.00	 0	 r	 1
14	 40	 6.00	 1	 l	 1
14	 41	 1.70	 1	 r	 0
14	 42	 1.70	 0	 r	 1
14	 43	 6.00	 0	 r	 1
14	 44	 1.70	 0	 r	 1
14	 45	 6.00	 0	 r	 1
14	 46	 6.00	 1	 l	 1
14	 47	 6.00	 0	 r	 1
14	 48	 1.70	 1	 r	 0
14	 49	 6.00	 1	 l	 1
14	 50	 1.70	 1	 r	 0
14	 51	 6.00	 0	 r	 1
14	 52	 6.00	 0	 r	 1
14	 53	 1.70	 0	 l	 0
14	 54	 1.70	 1	 l	 1
14	 55	 1.70	 0	 l	 0
14	 56	 1.70	 0	 l	 0
14	 57	 1.70	 0	 r	 1
14	 58	 1.70	 0	 r	 1
14	 59	 6.00	 0	 r	 1
14	 60	 6.00	 0	 r	 1
14	 61	 1.70	 1	 l	 1
14	 62	 1.70	 0	 l	 0
14	 63	 1.70	 0	 r	 1
14	 64	 1.70	 1	 l	 1
14	 65	 1.70	 1	 l	 1
14	 66	 1.70	 1	 l	 1
14	 67	 1.70	 0	 r	 1
14	 68	 6.00	 0	 r	 1
14	 69	 1.70	 1	 r	 0
14	 70	 1.70	 1	 r	 0
14	 71	 6.00	 0	 r	 1
14	 72	 1.70	 0	 r	 1
14	 73	 1.70	 0	 l	 0
14	 74	 1.70	 1	 l	 1
14	 75	 1.70	 0	 l	 0
14	 76	 6.00	 1	 l	 1
14	 77	 6.00	 1	 l	 1
14	 78	 6.00	 0	 r	 1
14	 79	 6.00	 1	 l	 1
14	 80	 1.70	 1	 r	 0
15	 1	 1.70	 0	 r	 1
15	 2	 1.70	 0	 r	 1
15	 3	 6.00	 0	 r	 1
15	 4	 1.70	 1	 l	 1
15	 5	 6.00	 1	 l	 1
15	 6	 1.70	 1	 l	 1
15	 7	 1.70	 0	 r	 1
15	 8	 1.70	 1	 l	 1
15	 9	 1.70	 1	 r	 0
15	 10	 1.70	 1	 l	 1
15	 11	 1.70	 0	 r	 1
15	 12	 6.00	 1	 l	 1
15	 13	 6.00	 0	 r	 1
15	 14	 6.00	 0	 r	 1
15	 15	 1.70	 0	 l	 0
15	 16	 1.70	 0	 r	 1
15	 17	 1.70	 1	 r	 0
15	 18	 6.00	 1	 l	 1
15	 19	 1.70	 0	 l	 0
15	 20	 6.00	 0	 r	 1
15	 21	 1.70	 0	 l	 0
15	 22	 6.00	 0	 r	 1
15	 23	 1.70	 1	 l	 1
15	 24	 1.70	 0	 r	 1
15	 25	 1.70	 0	 r	 1
15	 26	 6.00	 1	 l	 1
15	 27	 6.00	 1	 l	 1
15	 28	 1.70	 0	 l	 0
15	 29	 1.70	 0	 l	 0
15	 30	 6.00	 1	 l	 1
15	 31	 1.70	 0	 r	 1
15	 32	 1.70	 1	 l	 1
15	 33	 1.70	 1	 r	 0
15	 34	 6.00	 0	 r	 1
15	 35	 1.70	 1	 r	 0
15	 36	 1.70	 1	 l	 1
15	 37	 1.70	 1	 r	 0
15	 38	 1.70	 0	 l	 0
15	 39	 6.00	 1	 l	 1
15	 40	 1.70	 1	 l	 1
15	 41	 6.00	 1	 l	 1
15	 42	 1.70	 0	 r	 1
15	 43	 1.70	 0	 r	 1
15	 44	 1.70	 1	 l	 1
15	 45	 6.00	 0	 r	 1
15	 46	 6.00	 0	 r	 1
15	 47	 1.70	 0	 l	 0
15	 48	 1.70	 1	 r	 0
15	 49	 6.00	 1	 l	 1
15	 50	 6.00	 0	 r	 1
15	 51	 6.00	 1	 l	 1
15	 52	 1.70	 1	 r	 0
15	 53	 6.00	 1	 l	 1
15	 54	 6.00	 0	 r	 1
15	 55	 6.00	 0	 r	 1
15	 56	 6.00	 1	 l	 1
15	 57	 1.70	 0	 l	 0
15	 58	 6.00	 0	 r	 1
15	 59	 6.00	 1	 r	 0
15	 60	 1.70	 1	 r	 0
15	 61	 1.70	 1	 r	 0
15	 62	 6.00	 0	 r	 1
15	 63	 6.00	 0	 r	 1
15	 64	 1.70	 1	 l	 1
15	 65	 6.00	 1	 l	 1
15	 66	 6.00	 0	 r	 1
15	 67	 6.00	 0	 r	 1
15	 68	 6.00	 0	 r	 1
15	 69	 6.00	 0	 l	 0
15	 70	 6.00	 1	 l	 1
15	 71	 6.00	 1	 l	 1
15	 72	 6.00	 1	 l	 1
15	 73	 6.00	 1	 l	 1
15	 74	 6.00	 1	 l	 1
15	 75	 1.70	 0	 l	 0
15	 76	 6.00	 0	 r	 1
15	 77	 6.00	 1	 l	 1
15	 78	 6.00	 0	 l	 0
15	 79	 1.70	 0	 l	 0
16	 1	 6.00	 1	 l	 1
16	 2	 6.00	 1	 l	 1
16	 3	 6.00	 0	 r	 1
16	 4	 1.70	 0	 r	 1
16	 5	 6.00	 1	 l	 1
16	 6	 1.70	 1	 l	 1
16	 7	 6.00	 0	 r	 1
16	 8	 1.70	 1	 r	 0
16	 9	 6.00	 0	 r	 1
16	 10	 1.70	 0	 r	 1
16	 11	 6.00	 0	 l	 0
16	 12	 6.00	 1	 l	 1
16	 13	 1.70	 1	 r	 0
16	 14	 1.70	 0	 r	 1
16	 15	 1.70	 0	 r	 1
16	 16	 1.70	 0	 r	 1
16	 17	 1.70	 0	 r	 1
16	 18	 1.70	 0	 l	 0
16	 19	 1.70	 1	 l	 1
16	 20	 1.70	 1	 l	 1
16	 21	 6.00	 0	 r	 1
16	 22	 6.00	 0	 l	 0
16	 23	 1.70	 1	 r	 0
16	 24	 6.00	 0	 l	 0
16	 25	 1.70	 0	 r	 1
16	 26	 1.70	 1	 l	 1
16	 27	 6.00	 0	 r	 1
16	 28	 6.00	 0	 r	 1
16	 29	 1.70	 1	 l	 1
16	 30	 1.70	 1	 l	 1
16	 31	 1.70	 1	 l	 1
16	 32	 6.00	 1	 l	 1
16	 33	 6.00	 1	 l	 1
16	 34	 6.00	 1	 l	 1
16	 35	 6.00	 1	 l	 1
16	 36	 6.00	 0	 l	 0
16	 37	 1.70	 0	 l	 0
16	 38	 1.70	 1	 l	 1
16	 39	 1.70	 1	 l	 1
16	 40	 1.70	 0	 r	 1
16	 41	 6.00	 0	 r	 1
16	 42	 6.00	 0	 l	 0
16	 43	 1.70	 1	 l	 1
16	 44	 6.00	 1	 l	 1
16	 45	 6.00	 1	 l	 1
16	 46	 1.70	 1	 l	 1
16	 47	 1.70	 1	 l	 1
16	 48	 6.00	 0	 l	 0
16	 49	 6.00	 1	 l	 1
16	 50	 1.70	 1	 l	 1
16	 51	 6.00	 0	 l	 0
16	 52	 6.00	 0	 r	 1
16	 53	 1.70	 0	 l	 0
16	 54	 1.70	 0	 r	 1
16	 55	 1.70	 1	 l	 1
16	 56	 1.70	 0	 l	 0
16	 57	 6.00	 0	 r	 1
16	 58	 6.00	 0	 r	 1
16	 59	 6.00	 1	 l	 1
16	 60	 6.00	 1	 l	 1
16	 61	 6.00	 1	 l	 1
16	 62	 1.70	 0	 l	 0
16	 63	 6.00	 1	 l	 1
16	 64	 1.70	 0	 l	 0
16	 65	 6.00	 0	 l	 0
16	 66	 1.70	 1	 l	 1
16	 67	 6.00	 0	 r	 1
16	 68	 6.00	 1	 l	 1
16	 69	 6.00	 0	 l	 0
16	 70	 1.70	 0	 r	 1
16	 71	 1.70	 0	 l	 0
16	 72	 6.00	 1	 l	 1
16	 73	 6.00	 1	 l	 1
16	 74	 1.70	 1	 l	 1
16	 75	 1.70	 1	 l	 1
16	 76	 1.70	 0	 r	 1
16	 77	 6.00	 1	 l	 1
16	 78	 1.70	 0	 r	 1
16	 79	 1.70	 0	 r	 1
16	 80	 6.00	 1	 l	 1
18	 1	 6.00	 0	 r	 1
18	 2	 1.70	 0	 l	 0
18	 3	 6.00	 1	 l	 1
18	 4	 6.00	 1	 l	 1
18	 5	 1.70	 1	 r	 0
18	 6	 6.00	 1	 l	 1
18	 7	 1.70	 0	 r	 1
18	 8	 1.70	 1	 l	 1
18	 9	 1.70	 0	 l	 0
18	 10	 6.00	 1	 l	 1
18	 11	 1.70	 0	 r	 1
18	 12	 1.70	 1	 r	 0
18	 13	 1.70	 0	 l	 0
18	 14	 1.70	 1	 r	 0
18	 15	 1.70	 1	 r	 0
18	 16	 1.70	 1	 l	 1
18	 17	 6.00	 1	 l	 1
18	 18	 6.00	 0	 r	 1
18	 19	 6.00	 0	 l	 0
18	 20	 6.00	 1	 l	 1
18	 21	 1.70	 1	 l	 1
18	 22	 6.00	 0	 r	 1
18	 23	 1.70	 0	 l	 0
18	 24	 6.00	 1	 l	 1
18	 25	 1.70	 0	 l	 0
18	 26	 6.00	 1	 l	 1
18	 27	 6.00	 1	 l	 1
18	 28	 1.70	 1	 r	 0
18	 29	 6.00	 0	 r	 1
18	 30	 6.00	 1	 l	 1
18	 31	 1.70	 1	 l	 1
18	 32	 1.70	 1	 l	 1
18	 33	 1.70	 0	 r	 1
18	 34	 6.00	 1	 l	 1
18	 35	 1.70	 0	 l	 0
18	 36	 6.00	 0	 r	 1
18	 37	 6.00	 0	 r	 1
18	 38	 6.00	 1	 l	 1
18	 39	 6.00	 0	 r	 1
18	 40	 1.70	 0	 r	 1
18	 41	 6.00	 1	 l	 1
18	 42	 1.70	 0	 r	 1
18	 43	 6.00	 1	 l	 1
18	 44	 6.00	 1	 l	 1
18	 45	 6.00	 0	 r	 1
18	 46	 6.00	 0	 r	 1
18	 47	 6.00	 0	 r	 1
18	 48	 6.00	 0	 r	 1
18	 49	 6.00	 0	 r	 1
18	 50	 6.00	 0	 r	 1
18	 51	 1.70	 1	 l	 1
18	 52	 6.00	 1	 l	 1
18	 53	 1.70	 1	 l	 1
18	 54	 1.70	 1	 l	 1
18	 55	 6.00	 0	 r	 1
18	 56	 1.70	 0	 l	 0
18	 57	 1.70	 1	 r	 0
18	 58	 6.00	 0	 r	 1
18	 59	 6.00	 0	 r	 1
18	 60	 1.70	 0	 r	 1
18	 61	 1.70	 1	 r	 0
18	 62	 1.70	 1	 r	 0
18	 63	 1.70	 0	 r	 1
18	 64	 1.70	 0	 r	 1
18	 65	 6.00	 0	 r	 1
18	 66	 6.00	 0	 r	 1
18	 67	 1.70	 0	 r	 1
18	 68	 1.70	 1	 l	 1
18	 69	 1.70	 1	 l	 1
18	 70	 6.00	 1	 l	 1
18	 71	 6.00	 1	 l	 1
18	 72	 6.00	 1	 l	 1
18	 73	 6.00	 0	 r	 1
18	 74	 1.70	 1	 r	 0
18	 75	 1.70	 1	 r	 0
18	 76	 1.70	 0	 l	 0
18	 77	 6.00	 1	 l	 1
18	 78	 1.70	 0	 l	 0
18	 79	 1.70	 0	 r	 1
18	 80	 1.70	 0	 r	 1
19	 1	 6.00	 1	 r	 0
19	 2	 1.70	 1	 r	 0
19	 3	 6.00	 1	 l	 1
19	 4	 1.70	 1	 r	 0
19	 5	 6.00	 0	 r	 1
19	 6	 1.70	 1	 r	 0
19	 7	 1.70	 1	 l	 1
19	 8	 6.00	 0	 r	 1
19	 9	 6.00	 1	 l	 1
19	 10	 1.70	 0	 l	 0
19	 11	 6.00	 0	 r	 1
19	 12	 6.00	 0	 r	 1
19	 13	 6.00	 0	 r	 1
19	 14	 6.00	 1	 l	 1
19	 15	 1.70	 1	 r	 0
19	 16	 1.70	 0	 r	 1
19	 17	 1.70	 0	 r	 1
19	 18	 6.00	 0	 r	 1
19	 19	 6.00	 1	 l	 1
19	 20	 1.70	 0	 l	 0
19	 21	 6.00	 0	 r	 1
19	 22	 1.70	 1	 l	 1
19	 23	 1.70	 1	 r	 0
19	 24	 6.00	 1	 l	 1
19	 25	 1.70	 0	 r	 1
19	 26	 6.00	 1	 l	 1
19	 27	 6.00	 1	 l	 1
19	 28	 1.70	 0	 l	 0
19	 29	 6.00	 0	 r	 1
19	 30	 1.70	 1	 l	 1
19	 31	 6.00	 1	 l	 1
19	 32	 6.00	 1	 l	 1
19	 33	 6.00	 0	 r	 1
19	 34	 6.00	 0	 r	 1
19	 35	 6.00	 0	 r	 1
19	 36	 1.70	 1	 l	 1
19	 37	 6.00	 0	 r	 1
19	 38	 6.00	 0	 r	 1
19	 39	 6.00	 0	 r	 1
19	 40	 6.00	 0	 r	 1
19	 41	 1.70	 0	 r	 1
19	 42	 6.00	 0	 r	 1
19	 43	 6.00	 0	 r	 1
19	 44	 1.70	 1	 r	 0
19	 45	 1.70	 1	 l	 1
19	 46	 6.00	 1	 l	 1
19	 47	 6.00	 1	 l	 1
19	 48	 1.70	 0	 r	 1
19	 49	 6.00	 1	 l	 1
19	 50	 6.00	 1	 l	 1
19	 51	 6.00	 1	 l	 1
19	 52	 6.00	 1	 l	 1
19	 53	 6.00	 0	 l	 0
19	 54	 1.70	 0	 r	 1
19	 55	 1.70	 1	 r	 0
19	 56	 1.70	 0	 l	 0
19	 57	 1.70	 0	 r	 1
19	 58	 1.70	 0	 r	 1
19	 59	 1.70	 1	 r	 0
19	 60	 6.00	 1	 l	 1
19	 61	 1.70	 0	 l	 0
19	 62	 1.70	 0	 r	 1
19	 63	 1.70	 1	 r	 0
19	 64	 6.00	 0	 r	 1
19	 65	 1.70	 1	 l	 1
19	 66	 6.00	 1	 l	 1
19	 67	 6.00	 1	 l	 1
19	 68	 1.70	 0	 r	 1
19	 69	 6.00	 0	 l	 0
19	 70	 1.70	 0	 r	 1
19	 71	 6.00	 1	 l	 1
19	 72	 1.70	 1	 l	 1
19	 73	 1.70	 1	 l	 1
19	 74	 1.70	 1	 r	 0
19	 75	 1.70	 0	 r	 1
19	 76	 1.70	 1	 l	 1
19	 77	 1.70	 0	 r	 1
19	 78	 1.70	 1	 r	 0
20	 1	 1.70	 1	 l	 1
20	 2	 1.70	 1	 r	 0
20	 3	 6.00	 1	 l	 1
20	 4	 1.70	 0	 l	 0
20	 5	 1.70	 1	 r	 0
20	 6	 1.70	 1	 r	 0
20	 7	 1.70	 0	 r	 1
20	 8	 1.70	 1	 r	 0
20	 9	 6.00	 1	 r	 0
20	 10	 6.00	 0	 l	 0
20	 11	 6.00	 0	 r	 1
20	 12	 1.70	 0	 r	 1
20	 13	 6.00	 0	 r	 1
20	 14	 6.00	 1	 l	 1
20	 15	 6.00	 0	 r	 1
20	 16	 1.70	 1	 r	 0
20	 17	 1.70	 1	 l	 1
20	 18	 6.00	 1	 l	 1
20	 19	 6.00	 0	 r	 1
20	 20	 1.70	 0	 l	 0
20	 21	 1.70	 1	 l	 1
20	 22	 1.70	 1	 l	 1
20	 23	 6.00	 1	 r	 0
20	 24	 6.00	 0	 r	 1
20	 25	 1.70	 0	 l	 0
20	 26	 6.00	 1	 l	 1
20	 27	 6.00	 0	 r	 1
20	 28	 6.00	 0	 r	 1
20	 29	 1.70	 0	 l	 0
20	 30	 1.70	 1	 r	 0
20	 31	 6.00	 1	 l	 1
20	 32	 1.70	 0	 l	 0
20	 33	 1.70	 0	 r	 1
20	 34	 6.00	 1	 l	 1
20	 35	 1.70	 0	 l	 0
20	 36	 1.70	 1	 l	 1
20	 37	 6.00	 1	 r	 0
20	 38	 6.00	 0	 r	 1
20	 39	 1.70	 0	 r	 1
20	 40	 6.00	 0	 r	 1
20	 41	 1.70	 0	 r	 1
20	 42	 1.70	 1	 l	 1
20	 43	 6.00	 1	 l	 1
20	 44	 1.70	 0	 r	 1
20	 45	 6.00	 1	 l	 1
20	 46	 1.70	 0	 l	 0
20	 47	 1.70	 0	 r	 1
20	 48	 1.70	 1	 r	 0
20	 49	 6.00	 1	 l	 1
20	 50	 1.70	 0	 l	 0
20	 51	 6.00	 0	 r	 1
20	 52	 6.00	 0	 r	 1
20	 53	 6.00	 1	 l	 1
20	 54	 6.00	 0	 r	 1
20	 55	 6.00	 1	 l	 1
20	 56	 1.70	 1	 r	 0
20	 57	 1.70	 1	 r	 0
20	 58	 6.00	 0	 r	 1
20	 59	 6.00	 1	 l	 1
20	 60	 1.70	 0	 r	 1
20	 61	 6.00	 1	 l	 1
20	 62	 6.00	 1	 l	 1
20	 63	 1.70	 0	 r	 1
20	 64	 1.70	 1	 r	 0
20	 65	 6.00	 0	 r	 1
20	 66	 6.00	 0	 r	 1
20	 67	 1.70	 1	 r	 0
20	 68	 6.00	 0	 r	 1
20	 69	 1.70	 1	 r	 0
20	 70	 1.70	 1	 r	 0
20	 71	 1.70	 0	 l	 0
20	 72	 6.00	 0	 r	 1
20	 73	 1.70	 1	 r	 0
20	 74	 1.70	 0	 r	 1
20	 75	 6.00	 1	 l	 1
20	 76	 6.00	 0	 r	 1
20	 77	 1.70	 0	 r	 1
20	 78	 6.00	 0	 r	 1
20	 79	 6.00	 1	 l	 1
21	 1	 6.00	 1	 r	 0
21	 2	 6.00	 0	 r	 1
21	 3	 6.00	 1	 l	 1
21	 4	 6.00	 0	 r	 1
21	 5	 6.00	 0	 r	 1
21	 6	 1.70	 0	 l	 0
21	 7	 6.00	 1	 l	 1
21	 8	 1.70	 1	 r	 0
21	 9	 6.00	 0	 r	 1
21	 10	 1.70	 0	 l	 0
21	 11	 1.70	 0	 l	 0
21	 12	 1.70	 0	 r	 1
21	 13	 6.00	 1	 l	 1
21	 14	 1.70	 0	 l	 0
21	 15	 6.00	 1	 l	 1
21	 16	 1.70	 0	 r	 1
21	 17	 1.70	 1	 r	 0
