subNum,trialNo,easySide,targPresent,targSide,RT,accuracy,block_no
5,143,L,1,right,2804,0,1
5,144,L,1,right,4304,0,1
5,145,L,1,left,1640,1,1
5,146,L,1,left,1615,1,1
5,147,R,1,right,1564,1,1
5,148,L,1,right,2224,1,1
5,149,L,1,right,3164,1,1
5,150,L,1,left,1745,1,1
5,151,L,1,left,1615,1,1
5,152,L,0,,2394,1,1
5,153,L,0,,2744,1,1
5,154,L,1,right,2145,1,1
5,155,R,0,,3704,0,1
5,156,R,1,right,1613,1,1
6,1,L,0,,4402,1,1
6,2,L,0,,4395,1,1
6,3,R,0,,4854,1,1
6,4,L,1,left,1754,1,1
6,5,L,1,right,2274,1,1
6,6,L,1,left,1935,1,1
6,7,L,0,,3945,1,1
6,8,R,1,right,1934,1,1
6,9,L,0,,3045,1,1
6,10,R,1,left,2074,1,1
6,11,L,1,right,2034,1,1
6,12,R,0,,3074,1,1
6,13,R,0,,2784,1,1
6,14,R,0,,4534,1,1
6,15,L,1,right,1783,1,1
6,16,L,1,left,1774,1,1
6,17,R,1,left,1955,1,1
6,18,L,1,right,2888,0,1
6,19,R,0,,2915,1,1
6,20,R,1,left,1774,1,1
6,21,R,1,right,1655,1,1
6,22,R,0,,3460,1,1
6,23,R,0,,2885,1,1
6,24,L,0,,3321,1,1
6,25,L,0,,2937,1,1
6,26,R,0,,4000,1,1
6,27,R,1,left,2013,1,1
6,28,R,0,,3095,1,1
6,29,R,1,right,1734,1,1
6,30,R,0,,3164,1,1
6,31,L,0,,3623,1,1
6,32,R,1,left,1725,1,1
6,33,R,1,left,1755,1,1
6,34,L,1,left,1674,1,1
6,35,L,0,,2405,1,1
6,36,R,1,left,1684,1,1
6,37,L,0,,2705,1,1
6,38,R,1,right,1611,1,1
6,39,L,1,left,1651,1,1
6,40,R,0,,2134,1,1
6,41,R,0,,3506,1,1
6,42,L,0,,2654,1,1
6,43,R,0,,3144,1,1
6,44,L,1,right,2815,0,1
6,45,R,1,right,1673,1,1
6,46,R,0,,2595,1,1
6,47,L,1,left,1594,1,1
6,48,R,1,left,1994,1,1
6,49,R,1,right,1585,1,1
6,50,L,0,,2348,1,1
6,51,L,0,,2745,1,1
6,52,L,1,left,1524,1,1
6,53,R,0,,2324,1,1
6,54,L,1,left,1654,1,1
6,55,R,0,,2235,1,1
6,56,L,1,right,1744,1,1
6,57,L,0,,2473,1,1
6,58,R,0,,2714,1,1
6,59,R,1,left,2315,1,1
6,60,L,1,left,1574,1,1
6,61,L,0,,2235,1,1
6,62,R,0,,2245,1,1
6,63,L,1,left,1575,1,1
6,64,R,0,,2395,1,1
6,65,R,1,left,1834,1,1
6,66,L,1,right,1873,1,1
6,67,L,1,right,2035,1,1
6,68,L,1,left,1565,1,1
6,69,L,1,right,1665,1,1
6,70,L,0,,2284,1,1
6,71,R,1,right,1525,1,1
6,72,R,0,,2481,1,1
6,73,L,1,right,2534,1,1
6,74,L,1,right,1758,1,1
6,75,L,0,,2685,1,1
6,76,L,1,right,3475,0,1
6,77,R,0,,3384,1,1
6,78,L,1,right,1774,1,1
6,79,R,1,right,1594,1,1
6,80,R,0,,3212,1,1
6,81,R,0,,3455,1,1
6,82,R,1,right,1754,1,1
6,83,R,1,right,1591,1,1
6,84,R,1,right,1504,1,1
6,85,L,0,,6184,1,1
6,86,R,0,,3260,1,1
6,87,L,0,,4554,1,1
6,88,L,0,,4716,1,1
6,89,L,1,left,1934,1,1
6,90,R,0,,3595,1,1
6,91,L,1,right,1745,1,1
6,92,L,0,,3209,1,1
6,93,R,1,left,3654,1,1
6,94,R,0,,3135,1,1
6,95,R,1,right,1575,1,1
6,96,L,1,left,1544,1,1
6,97,R,0,,3845,1,1
6,98,R,1,right,1564,1,1
6,99,R,1,right,1465,1,1
6,100,L,1,left,1534,1,1
6,101,R,0,,2769,1,1
6,102,L,1,right,2190,1,1
6,103,R,1,right,1605,1,1
6,104,L,1,right,3374,1,1
6,105,L,0,,3118,1,1
6,106,R,1,right,1633,1,1
6,107,L,1,left,1525,1,1
6,108,R,1,left,1784,1,1
6,109,L,1,right,1734,1,1
6,110,L,0,,3135,1,1
6,111,L,0,,3135,1,1
6,112,L,0,,2695,1,1
6,113,R,0,,2274,1,1
6,114,R,1,left,1634,1,1
6,115,R,0,,2345,1,1
6,116,R,0,,2194,1,1
6,117,L,1,left,1593,1,1
6,118,L,1,right,1920,1,1
6,119,R,0,,2375,1,1
6,120,L,0,,2914,1,1
6,121,R,1,left,1985,1,1
6,122,R,0,,2704,1,1
6,123,R,1,left,1875,1,1
6,124,L,1,left,1605,1,1
6,125,R,0,,2324,1,1
6,126,L,0,,2445,1,1
6,127,L,1,left,1516,1,1
6,128,R,1,left,2644,0,1
6,129,L,0,,2194,1,1
6,130,L,1,left,1583,1,1
6,131,R,1,right,1725,1,1
6,132,R,0,,3135,1,1
6,133,R,1,left,1644,1,1
6,134,R,1,left,1604,1,1
6,135,R,0,,2574,1,1
6,136,L,0,,2603,1,1
6,137,R,1,left,2034,1,1
6,138,R,0,,2514,1,1
6,139,L,1,right,2273,1,1
6,140,R,1,left,1702,1,1
6,141,L,0,,2424,1,1
6,142,R,0,,2204,1,1
6,143,L,1,left,1641,1,1
6,144,L,0,,2114,1,1
6,145,L,0,,2264,1,1
6,146,L,1,right,2014,1,1
6,147,R,1,right,1544,1,1
6,148,L,0,,2727,1,1
6,149,L,0,,2164,1,1
6,150,R,0,,3293,1,1
6,151,L,0,,2030,1,1
6,152,R,0,,2894,1,1
6,153,R,0,,3164,1,1
6,154,L,1,right,1759,1,1
6,155,R,1,right,1535,1,1
6,156,L,0,,2914,1,1
6,157,R,0,,3683,1,1
6,158,L,0,,2451,1,1
6,159,L,0,,2404,1,1
6,160,R,0,,2565,1,1
7,1,R,0,,6126,1,1
7,2,L,1,right,2103,1,1
7,3,L,1,right,2725,0,1
7,4,R,1,right,2063,1,1
7,5,L,1,left,1775,1,1
7,6,R,0,,4024,1,1
7,7,L,1,right,1804,1,1
7,8,L,0,,4125,1,1
7,9,R,1,left,3541,1,1
7,10,R,1,right,1654,1,1
7,11,L,1,right,1748,1,1
7,12,R,1,right,1524,1,1
7,13,L,1,left,1883,1,1
7,14,L,0,,3974,1,1
7,15,R,0,,5323,1,1
7,16,R,0,,6735,1,1
7,17,R,1,left,2293,1,1
7,18,L,1,left,1714,1,1
