expName,subjectId,subjectGender,subjectAge,session,block,blockType,trial,setSize,targetOri,targetPos,distrMean,dtype,dsd,targetDist,t_dist_to_prev_d,answer,rt,correct,prev_correct,blockId,tid
set_size_experiment_1,1,f,27,2,356,prime,1,14,-82,8,-20,norm,15,62,4.92234287299999,j,1255.47514297,1,1,357,889
set_size_experiment_1,1,f,27,2,356,prime,2,14,-102,12,-20,norm,15,82,-15.077657127,i,812.443263829,1,1,357,890
set_size_experiment_1,1,f,27,2,356,prime,3,14,-110,1,-20,norm,15,-90,-23.077657127,j,897.330251522,1,1,357,891
set_size_experiment_1,1,f,27,2,357,probe,0,36,-73,10,-160,norm,10,-87,-53.588001223,i,491.183016449,1,1,358,892
set_size_experiment_1,1,f,27,2,357,probe,1,36,-73,16,-144,norm,10,-71,-53.588001223,i,657.756605186,1,1,358,893
set_size_experiment_1,1,f,27,2,358,prime,0,14,-241,5,-124,norm,15,-63,83.065877579,i,627.449659631,0,1,359,894
set_size_experiment_1,1,f,27,2,358,prime,1,14,-190,1,-124,norm,15,66,-45.934122421,j,595.564249903,1,0,359,895
set_size_experiment_1,1,f,27,2,358,prime,2,14,-198,1,-124,norm,15,74,-53.934122421,j,663.210839964,1,1,359,896
set_size_experiment_1,1,f,27,2,358,prime,3,14,-217,7,-124,norm,15,-87,-72.934122421,j,976.170697249,1,1,359,897
set_size_experiment_1,1,f,27,2,359,probe,0,36,-63,0,-149,norm,10,-86,61.32579485,i,517.859959975,1,1,360,898
set_size_experiment_1,1,f,27,2,359,probe,1,36,-63,17,-164,norm,10,79,61.32579485,i,448.273751885,1,1,360,899
set_size_experiment_1,1,f,27,2,360,prime,0,14,-77,5,6,norm,15,83,87.036591101,i,478.660314344,1,1,361,900
set_size_experiment_1,1,f,27,2,360,prime,1,14,-57,11,6,norm,15,63,-72.963408899,i,474.629541859,1,1,361,901
set_size_experiment_1,1,f,27,2,360,prime,2,14,-92,10,6,norm,15,-82,72.036591101,i,503.000332974,1,1,361,902
set_size_experiment_1,1,f,27,2,361,probe,0,36,-13,31,-111,norm,10,82,-19.26236458,i,558.102298528,1,1,362,903
set_size_experiment_1,1,f,27,2,362,prime,0,24,-124,23,-52,norm,15,72,-12.860507655,j,938.785283826,1,1,363,904
set_size_experiment_1,1,f,27,2,362,prime,1,24,-133,1,-52,norm,15,81,-21.860507655,i,625.177734531,1,1,363,905
