expName,subjectId,subjectGender,subjectAge,session,block,trial,targetOri,targetPos,distrMean,dtype,dsd,targetDist,t_dist_to_prev_d,answer,correctAnswer,rt,correct,prev_correct,blockId,tid,d_ori_0,d_ori_1,d_ori_2,d_ori_3,d_ori_4,d_ori_5,d_ori_6,d_ori_7,d_ori_8,d_ori_9,d_ori_10,d_ori_11,d_ori_12,d_ori_13,d_ori_14,d_ori_15,d_ori_16,d_ori_17,d_ori_18,d_ori_19,d_ori_20,d_ori_21,d_ori_22,d_ori_23,d_ori_24,d_ori_25,d_ori_26,d_ori_27,d_ori_28,d_ori_29,d_ori_30,d_ori_31,d_ori_32,d_ori_33,d_ori_34,d_ori_35
distr_stats,1,F,26,1,7,1,151,20,34,norm,5,-63,-23,j,j,717.783726755,1,1,8,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,7,2,151,13,34,norm,5,-63,-23,j,j,624.007007675,1,1,8,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,7,3,151,25,34,norm,5,-63,-23,j,j,1420.8353469,1,1,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,7,4,151,25,34,norm,5,-63,-23,j,j,701.89061557,1,1,8,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,7,5,151,16,34,norm,5,-63,-23,i,i,577.062644051,1,1,8,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,7,6,151,23,34,norm,5,-63,-23,i,i,576.949743388,1,1,8,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,8,0,6,17,94,norm,10,-88,-28,i,i,608.255357005,1,1,9,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,8,1,6,18,94,norm,10,-88,-28,j,j,608.185296119,1,1,9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,8,2,6,6,94,norm,10,-88,-28,j,j,545.664657164,1,1,9,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,8,3,6,29,94,norm,10,-88,-28,i,i,607.799291875,1,1,9,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,8,4,6,0,94,norm,10,-88,-28,j,j,655.288970166,1,1,9,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,9,0,38,4,134,norm,15,84,-56,i,i,1577.13672117,1,1,10,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,9,1,38,31,134,norm,15,84,-56,j,j,842.559487295,1,1,10,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,9,2,38,9,134,norm,15,84,-56,i,i,1123.35370107,1,1,10,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,9,3,38,11,134,norm,15,84,-56,i,i,1264.37867844,1,1,10,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,9,4,38,34,134,norm,15,84,-56,i,i,717.760968124,1,1,10,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,9,5,38,30,134,norm,15,84,-56,j,j,1139.248151,1,1,10,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,10,0,177,13,74,norm,10,-77,43,j,j,748.852382854,1,1,11,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,10,1,177,12,74,norm,10,-77,43,j,j,576.891284942,1,1,11,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,10,2,177,19,74,norm,10,-77,43,j,j,576.911812335,1,1,11,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
