trial_id,is_target,color,shape
1037,1,red,T
1039,1,red,T
1040,1,red,T
1043,1,red,T
1044,1,red,T
1049,1,red,T
1051,1,red,T
1055,1,red,T
1057,1,red,T
1058,1,red,T
1059,1,red,T
1060,1,red,T
1061,1,red,T
1064,1,red,T
1066,1,red,T
1069,1,red,T
1071,1,red,T
1074,1,red,T
1075,1,red,T
1078,1,red,T
1079,1,red,T
1081,1,red,T
1082,1,red,T
1083,1,red,T
1086,1,red,T
1088,1,red,T
1090,1,red,T
1091,1,red,T
1092,1,red,T
1093,1,red,T
1094,1,red,T
1095,1,red,T
1096,1,red,T
1098,1,red,T
1099,1,red,T
1100,1,red,T
1105,1,red,T
1109,1,red,T
1112,1,red,T
1114,1,red,T
1118,1,red,T
1122,1,red,T
1123,1,red,T
1124,1,red,T
1125,1,red,T
1126,1,red,T
1128,1,red,T
1130,1,red,T
1131,1,red,T
1133,1,red,T
1134,1,red,T
1135,1,red,T
1138,1,red,T
1139,1,red,T
1142,1,red,T
1146,1,red,T
1147,1,red,T
1149,1,red,T
1150,1,red,T
1156,1,red,T
1157,1,red,T
1159,1,red,T
1160,1,red,T
1161,1,red,T
1162,1,red,T
1164,1,red,T
1166,1,red,T
1167,1,red,T
1168,1,red,T
1169,1,red,T
1171,1,red,T
1174,1,red,T
1175,1,red,T
1176,1,red,T
1177,1,red,T
1182,1,red,T
1183,1,red,T
1184,1,red,T
1185,1,red,T
1187,1,red,T
1189,1,red,T
1191,1,red,T
1196,1,red,T
1198,1,red,T
1199,1,red,T
1200,1,red,T
1201,1,red,T
1204,1,red,T
1205,1,red,T
1206,1,red,T
1207,1,red,T
1208,1,red,T
1209,1,red,T
1211,1,red,T
1212,1,red,T
1213,1,red,T
1215,1,red,T
1216,1,red,T
1217,1,red,T
1218,1,red,T
1220,1,red,T
1221,1,red,T
1222,1,red,T
1223,1,red,T
1224,1,red,T
1226,1,red,T
1227,1,red,T
1229,1,red,T
1230,1,red,T
1231,1,red,T
1232,1,red,T
1234,1,red,T
1243,1,red,T
1244,1,red,T
1246,1,red,T
1247,1,red,T
1248,1,red,T
1249,1,red,T
1251,1,red,T
1253,1,red,T
1255,1,red,T
1262,1,red,T
1264,1,red,T
1266,1,red,T
1267,1,red,T
1269,1,red,T
1270,1,red,T
1272,1,red,T
1273,1,red,T
1275,1,red,T
1276,1,red,T
1279,1,red,T
1285,1,red,T
1286,1,red,T
1288,1,red,T
1289,1,red,T
1291,1,red,T
1294,1,red,T
1295,1,red,T
1301,1,red,T
1303,1,red,T
1304,1,red,T
1305,1,red,T
1308,1,red,T
1310,1,red,T
1311,1,red,T
1315,1,red,T
1317,1,red,T
1318,1,red,T
1319,1,red,T
1320,1,red,T
1321,1,red,T
1322,1,red,T
1323,1,red,T
1325,1,red,T
1327,1,red,T
1330,1,red,T
1335,1,red,T
1340,1,red,T
1343,1,red,T
1345,1,red,T
1347,1,red,T
1349,1,red,T
1351,1,red,T
1352,1,red,T
1357,1,red,T
1359,1,red,T
1360,1,red,T
1361,1,red,T
1362,1,red,T
1363,1,red,T
1365,1,red,T
1366,1,red,T
1367,1,red,T
1372,1,red,T
1374,1,red,T
1376,1,red,T
1378,1,red,T
1379,1,red,T
1382,1,red,T
1383,1,red,T
1385,1,red,T
1389,1,red,T
1390,1,red,T
1392,1,red,T
1394,1,red,T
1395,1,red,T
1398,1,red,T
1400,1,red,T
1401,1,red,T
1403,1,red,T
1404,1,red,T
1406,1,red,T
1409,1,red,T
1413,1,red,T
1418,1,red,T
1424,1,red,T
1428,1,red,T
1430,1,red,T
1431,1,red,T
1433,1,red,T
1435,1,red,T
1436,1,red,T
1437,1,red,T
1441,1,red,T
1445,1,red,T
1446,1,red,T
1447,1,red,T
1448,1,red,T
1449,1,red,T
1450,1,red,T
1454,1,red,T
1455,1,red,T
1456,1,red,T
1457,1,red,T
1458,1,red,T
1461,1,red,T
1462,1,red,T
1463,1,red,T
1468,1,red,T
1473,1,red,T
1477,1,red,T
1478,1,red,T
1479,1,red,T
1480,1,red,T
1481,1,red,T
1483,1,red,T
1484,1,red,T
1485,1,red,T
1486,1,red,T
1490,1,red,T
1492,1,red,T
1494,1,red,T
1499,1,red,T
1500,1,red,T
1507,1,red,T
1508,1,red,T
1510,1,red,T
1512,1,red,T
1515,1,red,T
1516,1,red,T
1517,1,red,T
1519,1,red,T
1521,1,red,T
1526,1,red,T
1527,1,red,T
1528,1,red,T
1529,1,red,T
1530,1,red,T
1532,1,red,T
1534,1,red,T
1535,1,red,T
1536,1,red,T
1537,1,red,T
1540,1,red,T
1541,1,red,T
1542,1,red,T
1544,1,red,T
1545,1,red,T
1546,1,red,T
1547,1,red,T
1548,1,red,T
1549,1,red,T
1551,1,red,T
1554,1,red,T
1556,1,red,T
1559,1,red,T
1560,1,red,T
1561,1,red,T
1562,1,red,T
1563,1,red,T
1564,1,red,T
1569,1,red,T
1571,1,red,T
1572,1,red,T
1573,1,red,T
1578,1,red,T
1585,1,red,T
1586,1,red,T
1587,1,red,T
1588,1,red,T
1589,1,red,T
1590,1,red,T
1592,1,red,T
1593,1,red,T
1595,1,red,T
1596,1,red,T
1597,1,red,T
1598,1,red,T
1599,1,red,T
1600,1,red,T
1601,1,red,T
1602,1,red,T
1605,1,red,T
1609,1,red,T
1611,1,red,T
1613,1,red,T
1616,1,red,T
1619,1,red,T
1620,1,red,T
1622,1,red,T
1624,1,red,T
1625,1,red,T
1626,1,red,T
1629,1,red,T
1632,1,red,T
1633,1,red,T
1635,1,red,T
1637,1,red,T
1641,1,red,T
1643,1,red,T
1644,1,red,T
1649,1,red,T
1650,1,red,T
1651,1,red,T
1653,1,red,T
1654,1,red,T
1655,1,red,T
1658,1,red,T
1659,1,red,T
1664,1,red,T
1666,1,red,T
1669,1,red,T
1670,1,red,T
1671,1,red,T
1672,1,red,T
1674,1,red,T
1675,1,red,T
1677,1,red,T
1678,1,red,T
1679,1,red,T
1681,1,red,T
1682,1,red,T
1683,1,red,T
1684,1,red,T
1689,1,red,T
1690,1,red,T
1691,1,red,T
1692,1,red,T
1693,1,red,T
1698,1,red,T
1702,1,red,T
1703,1,red,T
1705,1,red,T
1707,1,red,T
1711,1,red,T
1712,1,red,T
1714,1,red,T
1716,1,red,T
1722,1,red,T
1724,1,red,T
1726,1,red,T
1727,1,red,T
1728,1,red,T
1731,1,red,T
1732,1,red,T
1737,1,red,T
1738,1,red,T
1739,1,red,T
1740,1,red,T
1741,1,red,T
1743,1,red,T
1744,1,red,T
1748,1,red,T
1750,1,red,T
1751,1,red,T
1752,1,red,T
1754,1,red,T
1755,1,red,T
1757,1,red,T
1759,1,red,T
1760,1,red,T
1761,1,red,T
1762,1,red,T
1766,1,red,T
1767,1,red,T
1768,1,red,T
1771,1,red,T
1772,1,red,T
1773,1,red,T
1774,1,red,T
1777,1,red,T
1785,1,red,T
1787,1,red,T
1790,1,red,T
1791,1,red,T
1792,1,red,T
1793,1,red,T
1795,1,red,T
1796,1,red,T
1797,1,red,T
1798,1,red,T
1799,1,red,T
1800,1,red,T
1801,1,red,T
1802,1,red,T
1803,1,red,T
1804,1,red,T
1805,1,red,T
1806,1,red,T
1807,1,red,T
1809,1,red,T
1812,1,red,T
1814,1,red,T
1815,1,red,T
1817,1,red,T
1820,1,red,T
1821,1,red,T
1823,1,red,T
1824,1,red,T
1825,1,red,T
1829,1,red,T
1831,1,red,T
1833,1,red,T
1834,1,red,T
1837,1,red,T
1838,1,red,T
1839,1,red,T
1842,1,red,T
1848,1,red,T
1849,1,red,T
1851,1,red,T
1852,1,red,T
1853,1,red,T
1854,1,red,T
1856,1,red,T
1857,1,red,T
1860,1,red,T
1861,1,red,T
1862,1,red,T
1863,1,red,T
1865,1,red,T
1870,1,red,T
1871,1,red,T
1872,1,red,T
1873,1,red,T
1874,1,red,T
1875,1,red,T
1878,1,red,T
1881,1,red,T
1882,1,red,T
1885,1,red,T
1889,1,red,T
1890,1,red,T
1892,1,red,T
1893,1,red,T
1895,1,red,T
1896,1,red,T
1900,1,red,T
1902,1,red,T
1904,1,red,T
1905,1,red,T
1906,1,red,T
1907,1,red,T
1909,1,red,T
1912,1,red,T
1913,1,red,T
1914,1,red,T
1915,1,red,T
1918,1,red,T
1930,1,red,T
1931,1,red,T
1932,1,red,T
1938,1,red,T
1940,1,red,T
1941,1,red,T
1942,1,red,T
1944,1,red,T
1945,1,red,T
1946,1,red,T
1948,1,red,T
1949,1,red,T
1951,1,red,T
1953,1,red,T
1955,1,red,T
1958,1,red,T
1959,1,red,T
1960,1,red,T
1961,1,red,T
1963,1,red,T
1965,1,red,T
1966,1,red,T
1968,1,red,T
1969,1,red,T
1970,1,red,T
1971,1,red,T
1972,1,red,T
1974,1,red,T
1976,1,red,T
1978,1,red,T
1980,1,red,T
1981,1,red,T
1982,1,red,T
1984,1,red,T
1987,1,red,T
1990,1,red,T
1992,1,red,T
1993,1,red,T
1994,1,red,T
1995,1,red,T
1996,1,red,T
1998,1,red,T
2001,1,red,T
2004,1,red,T
2007,1,red,T
2008,1,red,T
2010,1,red,T
2012,1,red,T
2013,1,red,T
2016,1,red,T
2017,1,red,T
2021,1,red,T
2022,1,red,T
2026,1,red,T
2027,1,red,T
2029,1,red,T
2030,1,red,T
2031,1,red,T
2036,1,red,T
2038,1,red,T
2040,1,red,T
2041,1,red,T
2042,1,red,T
2044,1,red,T
2047,1,red,T
2051,1,red,T
2053,1,red,T
2055,1,red,T
2056,1,red,T
2057,1,red,T
2058,1,red,T
2063,1,red,T
2068,1,red,T
2070,1,red,T
2071,1,red,T
2073,1,red,T
2076,1,red,T
2077,1,red,T
2080,1,red,T
2081,1,red,T
2084,1,red,T
2085,1,red,T
2086,1,red,T
2087,1,red,T
2088,1,red,T
2089,1,red,T
2090,1,red,T
2092,1,red,T
2094,1,red,T
2097,1,red,T
2098,1,red,T
2101,1,red,T
2102,1,red,T
2103,1,red,T
2109,1,red,T
2112,1,red,T
2118,1,red,T
2120,1,red,T
2121,1,red,T
2123,1,red,T
2125,1,red,T
2126,1,red,T
2127,1,red,T
2130,1,red,T
2131,1,red,T
2135,1,red,T
2136,1,red,T
2137,1,red,T
2140,1,red,T
2145,1,red,T
2148,1,red,T
2149,1,red,T
2151,1,red,T
2155,1,red,T
2156,1,red,T
2157,1,red,T
2159,1,red,T
2160,1,red,T
2163,1,red,T
2167,1,red,T
2169,1,red,T
2171,1,red,T
2172,1,red,T
2173,1,red,T
2175,1,red,T
2176,1,red,T
2177,1,red,T
2178,1,red,T
2179,1,red,T
2181,1,red,T
2182,1,red,T
2183,1,red,T
2186,1,red,T
2188,1,red,T
2190,1,red,T
2191,1,red,T
2193,1,red,T
2194,1,red,T
2195,1,red,T
2196,1,red,T
2197,1,red,T
2199,1,red,T
2201,1,red,T
2202,1,red,T
2205,1,red,T
2207,1,red,T
2209,1,red,T
2210,1,red,T
2213,1,red,T
2214,1,red,T
2217,1,red,T
2218,1,red,T
2220,1,red,T
2223,1,red,T
2224,1,red,T
2225,1,red,T
2226,1,red,T
2227,1,red,T
2229,1,red,T
2231,1,red,T
2233,1,red,T
2234,1,red,T
2235,1,red,T
2236,1,red,T
2237,1,red,T
2239,1,red,T
2242,1,red,T
2243,1,red,T
2245,1,red,T
2247,1,red,T
2248,1,red,T
2252,1,red,T
2253,1,red,T
2254,1,red,T
2257,1,red,T
2258,1,red,T
2259,1,red,T
2268,1,red,T
2269,1,red,T
2272,1,red,T
2273,1,red,T
2276,1,red,T
2278,1,red,T
2279,1,red,T
2280,1,red,T
2282,1,red,T
2284,1,red,T
2286,1,red,T
2288,1,red,T
2290,1,red,T
2291,1,red,T
2292,1,red,T
2293,1,red,T
2294,1,red,T
2295,1,red,T
2296,1,red,T
2299,1,red,T
2300,1,red,T
2301,1,red,T
2302,1,red,T
2303,1,red,T
2304,1,red,T
2306,1,red,T
2309,1,red,T
2312,1,red,T
2313,1,red,T
2315,1,red,T
2318,1,red,T
2320,1,red,T
2321,1,red,T
2326,1,red,T
2329,1,red,T
2331,1,red,T
2332,1,red,T
2333,1,red,T
2335,1,red,T
2336,1,red,T
2338,1,red,T
2342,1,red,T
2345,1,red,T
2346,1,red,T
2347,1,red,T
2349,1,red,T
2350,1,red,T
2352,1,red,T
2354,1,red,T
2356,1,red,T
2358,1,red,T
2359,1,red,T
2362,1,red,T
2363,1,red,T
2371,1,red,T
2373,1,red,T
2375,1,red,T
2377,1,red,T
2378,1,red,T
2379,1,red,T
2384,1,red,T
2385,1,red,T
