SubjID,BlockNr,Sequence,Trial,Stability,MeanSize,MeanSizeDeg,SetSize,BuildOrTest,TargetOri,Response,ACC,RT,training
1,3,33,6,1,55.5,1.5,30,1,-45,-45,1,1055.2,0
1,3,34,1,2,74,2,30,0,45,45,1,5014.08,0
1,3,34,2,2,74,2,30,0,-45,-45,1,2627.63,0
1,3,34,3,2,74,2,30,0,45,45,1,1669.77,0
1,3,34,4,2,111,3,30,1,45,45,1,3880.07,0
1,3,34,5,2,55.5,1.5,30,1,45,45,1,1958.62,0
1,3,34,6,2,74,2,30,1,-45,-45,1,1032.67,0
1,3,35,1,2,111,3,20,0,-45,-45,1,1670.55,0
1,3,35,2,2,111,3,20,0,45,45,1,2983.2,0
1,3,35,3,2,111,3,20,0,-45,-45,1,2578.13,0
1,3,35,4,2,55.5,1.5,20,1,-45,-45,1,6750.8,0
1,3,35,5,2,92.5,2.5,20,1,45,45,1,3761.48,0
1,3,35,6,2,111,3,20,1,-45,-45,1,2615.67,0
1,3,36,1,2,74,2,30,0,-45,-45,1,5281.47,0
1,3,36,2,2,74,2,30,0,45,45,1,1128.88,0
1,3,36,3,2,74,2,30,0,45,45,1,5452.21,0
1,3,36,4,2,92.5,2.5,30,1,-45,-45,1,3387.34,0
1,3,36,5,2,55.5,1.5,30,1,-45,-45,1,2560.47,0
1,3,36,6,2,74,2,30,1,-45,-45,1,5733.67,0
1,4,37,1,1,92.5,2.5,30,0,-45,-45,1,4934.26,0
1,4,37,2,1,92.5,2.5,30,0,45,45,1,8493.82,0
1,4,37,3,1,92.5,2.5,30,0,-45,-45,1,2050.64,0
1,4,37,4,1,92.5,2.5,30,1,-45,-45,1,5943.3,0
1,4,37,5,1,92.5,2.5,30,1,45,45,1,3841.59,0
1,4,37,6,1,92.5,2.5,30,1,45,45,1,7133.14,0
1,4,38,1,1,111,3,30,0,45,-45,0,3502.76,0
1,4,38,2,1,111,3,30,0,-45,-45,1,7557.02,0
1,4,38,3,1,111,3,30,0,45,45,1,12569.23,0
1,4,38,4,1,111,3,30,1,-45,-45,1,3529.66,0
1,4,38,5,1,111,3,30,1,45,45,1,5081.31,0
1,4,38,6,1,111,3,30,1,-45,-45,1,1805.35,0
1,4,39,1,2,74,2,30,0,-45,-45,1,9546.42,0
1,4,39,2,2,74,2,30,0,45,45,1,2195.34,0
1,4,39,3,2,74,2,30,0,-45,-45,1,9231.12,0
1,4,39,4,2,92.5,2.5,30,1,45,45,1,1520.34,0
1,4,39,5,2,111,3,30,1,45,45,1,2870.97,0
1,4,39,6,2,74,2,30,1,-45,-45,1,1138.72,0
1,4,40,1,1,55.5,1.5,10,0,45,45,1,2662.24,0
1,4,40,2,1,55.5,1.5,10,0,45,45,1,1176.07,0
1,4,40,3,1,55.5,1.5,10,0,45,45,1,858.83,0
1,4,40,4,1,55.5,1.5,10,1,-45,-45,1,1079.7,0
1,4,40,5,1,55.5,1.5,10,1,-45,-45,1,761.9,0
1,4,40,6,1,55.5,1.5,10,1,-45,-45,1,1042.49,0
1,4,41,1,2,55.5,1.5,30,0,45,45,1,901.2,0
1,4,41,2,2,55.5,1.5,30,0,-45,-45,1,840.57,0
1,4,41,3,2,55.5,1.5,30,0,45,45,1,1358.92,0
1,4,41,4,2,74,2,30,1,45,45,1,1594.13,0
1,4,41,5,2,92.5,2.5,30,1,-45,-45,1,4556.2,0
1,4,41,6,2,111,3,30,1,45,45,1,1415.09,0
1,4,42,1,1,55.5,1.5,30,0,-45,-45,1,4403.52,0
1,4,42,2,1,55.5,1.5,30,0,-45,-45,1,1419.27,0
1,4,42,3,1,55.5,1.5,30,0,-45,-45,1,995.03,0
1,4,42,4,1,55.5,1.5,30,1,45,45,1,1068.52,0
1,4,42,5,1,55.5,1.5,30,1,45,45,1,1073.01,0
1,4,42,6,1,55.5,1.5,30,1,-45,-45,1,3845.63,0
1,4,43,1,1,92.5,2.5,20,0,45,45,1,1096.96,0
1,4,43,2,1,92.5,2.5,20,0,45,45,1,7266.98,0
1,4,43,3,1,92.5,2.5,20,0,-45,-45,1,5233.3,0
1,4,43,4,1,92.5,2.5,20,1,45,45,1,1150.35,0
1,4,43,5,1,92.5,2.5,20,1,45,45,1,1509.04,0
1,4,43,6,1,92.5,2.5,20,1,-45,-45,1,1063.25,0
1,4,44,1,1,92.5,2.5,20,0,45,45,1,3943.42,0
1,4,44,2,1,92.5,2.5,20,0,45,45,1,2385.06,0
1,4,44,3,1,92.5,2.5,20,0,45,45,1,2974.95,0
1,4,44,4,1,92.5,2.5,20,1,-45,-45,1,4926.9,0
1,4,44,5,1,92.5,2.5,20,1,-45,-45,1,3022.52,0
1,4,44,6,1,92.5,2.5,20,1,-45,-45,1,2199.06,0
1,4,45,1,2,55.5,1.5,30,0,-45,-45,1,2876.08,0
1,4,45,2,2,55.5,1.5,30,0,45,45,1,749.66,0
1,4,45,3,2,55.5,1.5,30,0,45,45,1,912.64,0
1,4,45,4,2,92.5,2.5,30,1,45,45,1,2090.87,0
1,4,45,5,2,111,3,30,1,-45,-45,1,10211.44,0
1,4,45,6,2,74,2,30,1,-45,-45,1,1488.86,0
1,4,46,1,2,55.5,1.5,20,0,-45,-45,1,1444.64,0
1,4,46,2,2,55.5,1.5,20,0,-45,-45,1,900.2,0
1,4,46,3,2,55.5,1.5,20,0,-45,-45,1,1523.73,0
1,4,46,4,2,111,3,20,1,45,45,1,8367.54,0
1,4,46,5,2,55.5,1.5,20,1,-45,-45,1,3455.81,0
1,4,46,6,2,74,2,20,1,45,45,1,1890.3,0
1,4,47,1,1,55.5,1.5,30,0,45,45,1,1917.07,0
1,4,47,2,1,55.5,1.5,30,0,-45,-45,1,1216.2,0
1,4,47,3,1,55.5,1.5,30,0,-45,-45,1,1389.12,0
1,4,47,4,1,55.5,1.5,30,1,45,45,1,2309.46,0
1,4,47,5,1,55.5,1.5,30,1,-45,-45,1,1673.73,0
1,4,47,6,1,55.5,1.5,30,1,-45,-45,1,2153.28,0
1,4,48,1,1,92.5,2.5,10,0,-45,-45,1,1669.72,0
1,4,48,2,1,92.5,2.5,10,0,45,45,1,3962.22,0
1,4,48,3,1,92.5,2.5,10,0,-45,-45,1,1231.17,0
1,4,48,4,1,92.5,2.5,10,1,45,45,1,998.81,0
1,4,48,5,1,92.5,2.5,10,1,-45,-45,1,889.03,0
1,4,48,6,1,92.5,2.5,10,1,-45,-45,1,824.85,0
1,5,49,1,2,92.5,2.5,30,0,45,45,1,6279.36,0
1,5,49,2,2,92.5,2.5,30,0,-45,-45,1,3193.68,0
1,5,49,3,2,92.5,2.5,30,0,-45,-45,1,11553.74,0
1,5,49,4,2,111,3,30,1,-45,-45,1,2656.99,0
1,5,49,5,2,74,2,30,1,45,45,1,1122,0
1,5,49,6,2,92.5,2.5,30,1,-45,-45,1,1397.61,0
1,5,50,1,1,74,2,20,0,-45,-45,1,825.78,0
1,5,50,2,1,74,2,20,0,45,45,1,784.26,0
1,5,50,3,1,74,2,20,0,-45,-45,1,1488.53,0
1,5,50,4,1,74,2,20,1,-45,-45,1,9917.99,0
1,5,50,5,1,74,2,20,1,-45,-45,1,1998.65,0
1,5,50,6,1,74,2,20,1,45,45,1,1186.35,0
1,5,51,1,2,55.5,1.5,30,0,45,45,1,840.08,0
1,5,51,2,2,55.5,1.5,30,0,-45,-45,1,1424.36,0
1,5,51,3,2,55.5,1.5,30,0,-45,-45,1,1084.13,0
1,5,51,4,2,92.5,2.5,30,1,45,45,1,2598.92,0
1,5,51,5,2,74,2,30,1,45,45,1,2401.73,0
1,5,51,6,2,111,3,30,1,-45,-45,1,1084.38,0
1,5,52,1,2,92.5,2.5,10,0,45,45,1,1867.07,0
1,5,52,2,2,92.5,2.5,10,0,45,45,1,1356.01,0
1,5,52,3,2,92.5,2.5,10,0,-45,-45,1,841.48,0
1,5,52,4,2,111,3,10,1,-45,-45,1,2123.54,0
1,5,52,5,2,92.5,2.5,10,1,45,45,1,1668.82,0
1,5,52,6,2,55.5,1.5,10,1,-45,-45,1,938.33,0
1,5,53,1,2,74,2,20,0,-45,-45,1,4023.52,0
1,5,53,2,2,74,2,20,0,45,45,1,2409.37,0
1,5,53,3,2,74,2,20,0,-45,-45,1,2851.66,0
1,5,53,4,2,111,3,20,1,45,45,1,7000.01,0
1,5,53,5,2,74,2,20,1,-45,-45,1,958.89,0
1,5,53,6,2,55.5,1.5,20,1,-45,-45,1,1747.56,0
1,5,54,1,2,111,3,20,0,-45,-45,1,4396.15,0
1,5,54,2,2,111,3,20,0,-45,-45,1,1597.6,0
1,5,54,3,2,111,3,20,0,-45,-45,1,2348.04,0
1,5,54,4,2,74,2,20,1,45,45,1,2964.67,0
1,5,54,5,2,55.5,1.5,20,1,-45,-45,1,3641.88,0
1,5,54,6,2,111,3,20,1,45,45,1,7511.97,0
1,5,55,1,2,92.5,2.5,30,0,-45,-45,1,1521.23,0
1,5,55,2,2,92.5,2.5,30,0,-45,-45,1,830.73,0
1,5,55,3,2,92.5,2.5,30,0,-45,-45,1,1448.02,0
1,5,55,4,2,55.5,1.5,30,1,45,45,1,1056.84,0
1,5,55,5,2,92.5,2.5,30,1,45,45,1,3890.47,0
1,5,55,6,2,74,2,30,1,45,45,1,2175.73,0
1,5,56,1,1,111,3,20,0,-45,-45,1,1550.88,0
1,5,56,2,1,111,3,20,0,-45,-45,1,1884.68,0
1,5,56,3,1,111,3,20,0,45,45,1,2212.36,0
1,5,56,4,1,111,3,20,1,-45,-45,1,2013.84,0
1,5,56,5,1,111,3,20,1,45,45,1,1036.05,0
1,5,56,6,1,111,3,20,1,45,45,1,3139.67,0
1,5,57,1,2,74,2,20,0,45,45,1,1161.79,0
1,5,57,2,2,74,2,20,0,45,45,1,3594.21,0
1,5,57,3,2,74,2,20,0,-45,-45,1,2995,0
1,5,57,4,2,92.5,2.5,20,1,45,45,1,5527.82,0
1,5,57,5,2,74,2,20,1,-45,-45,1,4082.28,0
1,5,57,6,2,111,3,20,1,45,45,1,7467.3,0
