"expName","subjectId","subjectGender","subjectAge","session","block","trial","targetOri","targetPos","distrMean","dtype","dsd","targetDist","t_dist_to_prev_d","answer","correctAnswer","rt","correct","prev_correct"
"distr_stats",1,"F",26,1,16,"3",108,23,174,"norm",10,-66,-86,"i","i",574.645320359,1,1
"distr_stats",1,"F",26,1,16,"4",108,13,174,"norm",10,-66,-86,"j","j",608.04071187,1,1
"distr_stats",1,"F",26,1,16,"5",108,20,174,"norm",10,-66,-86,"j","j",686.682048329,1,1
"distr_stats",1,"F",26,1,17,"0",113,7,34,"norm",5,79,-61,"j","j",529.717996257,1,1
"distr_stats",1,"F",26,1,17,"1",113,33,34,"norm",5,79,-61,"i","i",545.440640828,1,1
"distr_stats",1,"F",26,1,17,"2",113,7,34,"norm",5,79,-61,"j","j",574.135259259,1,1
"distr_stats",1,"F",26,1,17,"3",113,7,34,"norm",5,79,-61,"j","j",686.52006042,1,1
"distr_stats",1,"F",26,1,17,"4",113,29,34,"norm",5,79,-61,"i","i",467.053665548,1,1
"distr_stats",1,"F",26,1,17,"5",113,29,34,"norm",5,79,-61,"i","i",514.253282846,1,1
"distr_stats",1,"F",26,1,17,"6",113,25,34,"norm",5,79,-61,"j","j",514.382248426,1,1
"distr_stats",1,"F",26,1,18,"0",139,15,74,"norm",15,65,-75,"i","i",1248.92556747,1,1
"distr_stats",1,"F",26,1,18,"1",139,13,74,"norm",15,65,-75,"j","j",607.742172171,1,1
"distr_stats",1,"F",26,1,18,"2",139,30,74,"norm",15,65,-75,"j","j",1920.60686809,1,1
"distr_stats",1,"F",26,1,18,"3",139,8,74,"norm",15,65,-75,"j","j",1092.45417284,1,1
"distr_stats",1,"F",26,1,18,"4",139,30,74,"norm",15,65,-75,"j","j",670.975468674,1,1
"distr_stats",1,"F",26,1,18,"5",139,5,74,"norm",15,65,-75,"i","i",842.440339164,1,1
"distr_stats",1,"F",26,1,18,"6",139,21,74,"norm",15,65,-75,"i","i",623.961490412,1,1
"distr_stats",1,"F",26,1,19,"0",143,25,34,"norm",5,-71,69,"j","j",686.574948885,1,1
"distr_stats",1,"F",26,1,19,"1",143,25,34,"norm",5,-71,69,"j","j",467.465552158,1,1
"distr_stats",1,"F",26,1,19,"2",143,19,34,"norm",5,-71,69,"j","j",545.396462307,1,1
"distr_stats",1,"F",26,1,19,"3",143,30,34,"norm",5,-71,69,"j","j",654.986860485,1,1
"distr_stats",1,"F",26,1,19,"4",143,31,34,"norm",5,-71,69,"j","j",764.411700773,1,1
"distr_stats",1,"F",26,1,20,"0",103,18,174,"norm",15,-71,69,"j","j",530.42574508,1,1
"distr_stats",1,"F",26,1,20,"1",103,7,174,"norm",15,-71,69,"i","j",717.818087827,0,1
"distr_stats",1,"F",26,1,20,"2",103,4,174,"norm",15,-71,69,"j","i",451.887045589,0,0
"distr_stats",1,"F",26,1,20,"3",103,29,174,"norm",15,-71,69,"i","i",467.81362535,1,0
"distr_stats",1,"F",26,1,20,"4",103,15,174,"norm",15,-71,69,"i","i",826.697613448,1,1
"distr_stats",1,"F",26,1,21,"0",163,10,54,"norm",5,-71,-11,"i","i",592.791982338,1,1
"distr_stats",1,"F",26,1,21,"1",163,19,54,"norm",5,-71,-11,"j","j",655.334041182,1,1
"distr_stats",1,"F",26,1,21,"2",163,5,54,"norm",5,-71,-11,"i","i",576.944834663,1,1
"distr_stats",1,"F",26,1,21,"3",163,10,54,"norm",5,-71,-11,"i","i",639.541781972,1,1
"distr_stats",1,"F",26,1,21,"4",163,5,54,"norm",5,-71,-11,"i","i",530.195481276,1,1
"distr_stats",1,"F",26,1,22,"0",15,15,114,"norm",15,81,-39,"i","i",717.616383875,1,1
"distr_stats",1,"F",26,1,22,"1",15,10,114,"norm",15,81,-39,"i","i",608.513734413,1,1
"distr_stats",1,"F",26,1,22,"2",15,19,114,"norm",15,81,-39,"j","j",623.972646604,1,1
"distr_stats",1,"F",26,1,22,"3",15,24,114,"norm",15,81,-39,"j","j",576.841751449,1,1
"distr_stats",1,"F",26,1,22,"4",15,23,114,"norm",15,81,-39,"i","i",592.793321081,1,1
"distr_stats",1,"F",26,1,22,"5",15,22,114,"norm",15,81,-39,"i","i",623.749969011,1,1
"distr_stats",1,"F",26,1,23,"0",142,24,74,"norm",10,68,28,"j","j",561.630506721,1,1
"distr_stats",1,"F",26,1,23,"1",142,28,74,"norm",10,68,28,"i","i",561.593021916,1,1
"distr_stats",1,"F",26,1,23,"2",142,21,74,"norm",10,68,28,"i","i",733.027101316,1,1
"distr_stats",1,"F",26,1,23,"3",142,18,74,"norm",10,68,28,"j","j",592.496566372,1,1
"distr_stats",1,"F",26,1,23,"4",142,27,74,"norm",10,68,28,"i","i",561.747869862,1,1
"distr_stats",1,"F",26,1,23,"5",142,27,74,"norm",10,68,28,"i","i",561.538133451,1,1
"distr_stats",1,"F",26,1,24,"0",36,34,154,"norm",15,62,-38,"i","i",670.595265649,1,1
"distr_stats",1,"F",26,1,24,"1",36,11,154,"norm",15,62,-38,"i","i",1014.43088942,1,1
"distr_stats",1,"F",26,1,24,"2",36,28,154,"norm",15,62,-38,"i","i",1514.52415519,1,1
"distr_stats",1,"F",26,1,24,"3",36,7,154,"norm",15,62,-38,"j","j",639.365514138,1,1
"distr_stats",1,"F",26,1,24,"4",36,19,154,"norm",15,62,-38,"j","j",936.260790517,1,1
"distr_stats",1,"F",26,1,24,"5",36,30,154,"norm",15,62,-38,"i","j",561.470750051,0,1
"distr_stats",1,"F",26,1,25,"0",50,9,154,"norm",5,76,76,"i","i",561.501541141,1,0
"distr_stats",1,"F",26,1,25,"1",50,24,154,"norm",5,76,76,"j","j",655.018097823,1,1
"distr_stats",1,"F",26,1,25,"2",50,33,154,"norm",5,76,76,"i","i",592.549669846,1,1
"distr_stats",1,"F",26,1,25,"3",50,35,154,"norm",5,76,76,"i","i",545.266604232,1,1
"distr_stats",1,"F",26,1,25,"4",50,14,154,"norm",5,76,76,"j","j",764.420625727,1,1
"distr_stats",1,"F",26,1,26,"0",102,30,174,"norm",15,-72,-52,"j","j",498.289218279,1,1
"distr_stats",1,"F",26,1,26,"1",102,18,174,"norm",15,-72,-52,"j","j",561.334644509,1,1
"distr_stats",1,"F",26,1,26,"2",102,0,174,"norm",15,-72,-52,"j","j",593.090522037,1,1
"distr_stats",1,"F",26,1,26,"3",102,22,174,"norm",15,-72,-52,"i","i",561.522068535,1,1
"distr_stats",1,"F",26,1,26,"4",102,22,174,"norm",15,-72,-52,"i","i",498.850597863,1,1
"distr_stats",1,"F",26,1,26,"5",102,18,174,"norm",15,-72,-52,"j","j",701.99459128,1,1
"distr_stats",1,"F",26,1,27,"0",83,21,14,"norm",5,69,89,"i","i",624.109198395,1,1
"distr_stats",1,"F",26,1,27,"1",83,30,14,"norm",5,69,89,"j","j",701.655889289,1,1
"distr_stats",1,"F",26,1,27,"2",83,21,14,"norm",5,69,89,"i","i",561.17845782,1,1
"distr_stats",1,"F",26,1,27,"3",83,24,14,"norm",5,69,89,"j","j",701.625990695,1,1
