participant_id,age,gender,locale,localeOrder,trialN,set_size,targetPos,targetColor,rt,answer,correct,display_device_name,display_res_x,display_res_y,display_refresh_rate,response_device_name,display_distance,block_id,trial_id,trial_n,target_pos_x,target_pos_y,target_color_hsv
1,25,f,Response box,2,13,2,1,360,288,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,13,13,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,14,2,0,360,274,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,14,14,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,15,2,1,360,235,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,15,15,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,16,2,0,360,251,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,16,16,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,17,2,1,360,279,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,17,17,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,18,2,0,360,231,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,18,18,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,19,2,1,360,199,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,19,19,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,20,2,0,360,240,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,20,20,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,21,2,0,360,368,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,21,21,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,22,2,1,360,243,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,22,22,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,23,2,1,360,287,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,23,23,-4.5,0,"HSV 360,1,1"
1,25,f,Response box,2,24,2,0,360,247,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,1,24,24,-7.5,0,"HSV 360,1,1"
1,25,f,Response box,2,25,2,1,300,309,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,25,1,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,26,2,0,300,265,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,26,2,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,27,2,0,300,277,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,27,3,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,28,2,1,300,252,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,28,4,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,29,2,0,300,271,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,29,5,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,30,2,1,300,240,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,30,6,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,31,2,1,300,286,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,31,7,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,32,2,0,300,262,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,32,8,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,33,2,1,300,270,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,33,9,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,34,2,0,300,262,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,34,10,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,35,2,1,300,291,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,35,11,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,36,2,0,300,229,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,36,12,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,37,2,1,300,228,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,37,13,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,38,2,0,300,233,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,38,14,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,39,2,1,300,235,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,39,15,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,40,2,0,300,227,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,40,16,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,41,2,1,300,211,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,41,17,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,42,2,0,300,218,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,42,18,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,43,2,0,300,410,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,43,19,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,44,2,1,300,242,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,44,20,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,45,2,0,300,272,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,45,21,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,46,2,1,300,250,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,46,22,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,47,2,1,300,304,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,47,23,-4.5,0,"HSV 300,1,1"
1,25,f,Response box,2,48,2,0,300,235,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,2,48,24,-7.5,0,"HSV 300,1,1"
1,25,f,Response box,2,49,2,0,120,298,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,49,1,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,50,2,1,120,253,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,50,2,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,51,2,0,120,236,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,51,3,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,52,2,1,120,231,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,52,4,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,53,2,0,120,268,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,53,5,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,54,2,1,120,277,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,54,6,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,55,2,0,120,234,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,55,7,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,56,2,1,120,245,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,56,8,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,57,2,0,120,225,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,57,9,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,58,2,1,120,244,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,58,10,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,59,2,1,120,324,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,59,11,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,60,2,0,120,253,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,60,12,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,61,2,0,120,299,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,61,13,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,62,2,1,120,215,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,62,14,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,63,2,1,120,259,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,63,15,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,64,2,0,120,199,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,64,16,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,65,2,0,120,313,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,65,17,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,66,2,1,120,229,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,66,18,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,67,2,0,120,272,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,67,19,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,68,2,1,120,231,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,68,20,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,69,2,0,120,232,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,69,21,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,70,2,1,120,457,2,0,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,70,22,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,71,2,1,120,306,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,71,23,-4.5,0,"HSV 120,1,1"
1,25,f,Response box,2,72,2,0,120,248,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,3,72,24,-7.5,0,"HSV 120,1,1"
1,25,f,Response box,2,73,2,1,60,276,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,73,1,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,74,2,0,60,243,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,74,2,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,75,2,1,60,258,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,75,3,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,76,2,0,60,263,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,76,4,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,77,2,1,60,238,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,77,5,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,78,2,0,60,264,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,78,6,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,79,2,0,60,301,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,79,7,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,80,2,1,60,219,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,80,8,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,81,2,0,60,270,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,81,9,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,82,2,1,60,237,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,82,10,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,83,2,0,60,259,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,83,11,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,84,2,1,60,207,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,84,12,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,85,2,1,60,194,2,0,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,85,13,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,86,2,0,60,387,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,86,14,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,87,2,1,60,1789,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,87,15,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,88,2,0,60,448,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,88,16,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,89,2,0,60,326,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,89,17,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,90,2,1,60,244,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,90,18,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,91,2,0,60,262,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,91,19,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,92,2,1,60,282,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,92,20,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,93,2,0,60,256,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,93,21,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,94,2,1,60,266,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,94,22,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,95,2,0,60,264,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,95,23,-7.5,0,"HSV 60,1,1"
1,25,f,Response box,2,96,2,1,60,232,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,4,96,24,-4.5,0,"HSV 60,1,1"
1,25,f,Response box,2,97,2,0,180,297,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,97,1,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,98,2,1,180,290,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,98,2,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,99,2,1,180,248,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,99,3,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,100,2,0,180,276,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,100,4,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,101,2,1,180,228,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,101,5,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,102,2,0,180,310,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,102,6,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,103,2,1,180,213,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,103,7,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,104,2,0,180,227,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,104,8,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,105,2,1,180,219,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,105,9,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,106,2,0,180,223,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,106,10,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,107,2,1,180,230,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,107,11,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,108,2,0,180,258,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,108,12,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,109,2,0,180,267,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,109,13,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,110,2,1,180,249,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,110,14,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,111,2,0,180,246,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,111,15,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,112,2,1,180,255,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,112,16,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,113,2,1,180,275,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,113,17,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,114,2,0,180,221,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,114,18,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,115,2,1,180,280,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,115,19,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,116,2,0,180,293,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,116,20,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,117,2,1,180,218,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,117,21,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,118,2,0,180,301,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,118,22,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,119,2,1,180,209,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,119,23,-4.5,0,"HSV 180,1,1"
1,25,f,Response box,2,120,2,0,180,260,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,5,120,24,-7.5,0,"HSV 180,1,1"
1,25,f,Response box,2,121,2,1,240,324,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,121,1,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,122,2,0,240,254,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,122,2,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,123,2,0,240,296,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,123,3,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,124,2,1,240,237,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,124,4,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,125,2,0,240,234,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,125,5,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,126,2,1,240,220,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,126,6,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,127,2,0,240,229,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,127,7,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,128,2,1,240,246,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,128,8,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,129,2,0,240,233,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,129,9,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,130,2,1,240,197,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,130,10,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,131,2,0,240,234,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,131,11,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,132,2,1,240,221,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,132,12,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,133,2,1,240,329,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,133,13,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,134,2,0,240,254,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,134,14,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,135,2,1,240,238,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,135,15,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,136,2,0,240,212,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,136,16,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,137,2,1,240,216,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,137,17,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,138,2,0,240,228,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,138,18,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,139,2,1,240,241,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,139,19,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,140,2,0,240,200,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,140,20,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,141,2,0,240,51,5,0,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,141,21,-7.5,0,"HSV 240,1,1"
1,25,f,Response box,2,142,2,1,240,251,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,142,22,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,143,2,1,240,272,5,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,143,23,-4.5,0,"HSV 240,1,1"
1,25,f,Response box,2,144,2,0,240,261,2,1,19-in. Acer V193,1280,1024,60,Cedrus RB-830,400,6,144,24,-7.5,0,"HSV 240,1,1"
1,25,f,Web from home,3,1,2,1,300,965,h,1,,,,,,,7,145,1,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,2,2,0,300,500,d,1,,,,,,,7,146,2,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,3,2,1,300,402,h,1,,,,,,,7,147,3,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,4,2,0,300,393,d,1,,,,,,,7,148,4,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,5,2,0,300,536,d,1,,,,,,,7,149,5,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,6,2,1,300,356,h,1,,,,,,,7,150,6,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,7,2,1,300,414,h,1,,,,,,,7,151,7,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,8,2,0,300,418,d,1,,,,,,,7,152,8,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,9,2,0,300,487,d,1,,,,,,,7,153,9,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,10,2,1,300,368,h,1,,,,,,,7,154,10,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,11,2,1,300,413,h,1,,,,,,,7,155,11,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,12,2,0,300,355,d,1,,,,,,,7,156,12,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,13,2,1,300,369,h,1,,,,,,,7,157,13,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,14,2,0,300,379,d,1,,,,,,,7,158,14,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,15,2,1,300,373,h,1,,,,,,,7,159,15,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,16,2,0,300,346,d,1,,,,,,,7,160,16,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,17,2,0,300,471,d,1,,,,,,,7,161,17,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,18,2,1,300,313,h,1,,,,,,,7,162,18,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,19,2,0,300,351,d,1,,,,,,,7,163,19,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,20,2,1,300,395,h,1,,,,,,,7,164,20,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,21,2,0,300,387,d,1,,,,,,,7,165,21,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,22,2,1,300,397,h,1,,,,,,,7,166,22,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,23,2,0,300,361,d,1,,,,,,,7,167,23,-7.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,24,2,1,300,353,h,1,,,,,,,7,168,24,-4.5,0,"HSV 300,1,1"
1,25,f,Web from home,3,25,2,1,120,514,h,1,,,,,,,8,169,1,-4.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,26,2,0,120,358,d,1,,,,,,,8,170,2,-7.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,27,2,0,120,353,d,1,,,,,,,8,171,3,-7.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,28,2,1,120,339,h,1,,,,,,,8,172,4,-4.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,29,2,0,120,353,d,1,,,,,,,8,173,5,-7.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,30,2,1,120,291,h,1,,,,,,,8,174,6,-4.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,31,2,1,120,468,h,1,,,,,,,8,175,7,-4.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,32,2,0,120,343,d,1,,,,,,,8,176,8,-7.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,33,2,1,120,374,h,1,,,,,,,8,177,9,-4.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,34,2,0,120,353,d,1,,,,,,,8,178,10,-7.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,35,2,0,120,430,d,1,,,,,,,8,179,11,-7.5,0,"HSV 120,1,1"
1,25,f,Web from home,3,36,2,1,120,361,h,1,,,,,,,8,180,12,-4.5,0,"HSV 120,1,1"
