subjnr;rho;T_present;response;correct;ort1;ort2;ort3;ort4
1;0;0;1;0;18,50705501;-17,1309803;-11,46295609;-11,80730662
1;0;1;1;1;2,899563471;0;-11,23678294;2,367984497
1;0;1;1;1;0;-7,805011217;18,41703727;-19,8633998
1;0;1;0;0;-4,74687442;0;11,8113427;-27,03219146
1;0;1;0;0;0;12,3675769;14,44734952;11,25516603
1;0;0;1;0;0,135621822;34,11063202;-7,416739552;-7,460991096
1;0;1;1;1;0;6,680946293;-4,902530431;-10,02805282
1;0;0;0;1;-11,35394874;10,4369256;19,38172378;10,12362746
1;0;1;1;1;0;10,26067536;18,76943607;17,87733948
1;0;1;0;0;-14,38568063;0;-9,789004146;9,4893699
1;0;0;1;0;14,47909263;-8,739765818;7,056087481;3,802189721
1;0;0;1;0;7,926257544;13,15159687;-18,24617637;-0,810424093
1;0;1;1;1;0;15,71046281;20,59544033;2,836786476
1;0;1;1;1;-16,62395193;0;22,40592396;-15,04851508
1;0;0;0;1;0,604727328;-19,37320871;14,27655564;38,71806602
1;0;0;1;0;30,13566766;-13,98093881;-17,39437904;-6,223180929
1;0;0;1;0;55,04954955;-1,616697596;4,704137355;31,69798705
1;0;1;1;1;-18,62199248;-8,172110212;0;-1,493518064
1;0;0;1;0;-34,82945159;41,19153867;2,084357503;7,904189331
1;0;0;0;1;-10,24089762;-3,279406147;2,533394613;-0,074652877
1;0;1;1;1;1,908686356;-5,220743841;0;-20,26876295
1;0;1;1;1;-1,526168306;-13,74176381;0;-6,609444276
1;0;0;0;1;3,706498494;-17,07385198;16,65575973;0,64237831
1;0;1;1;1;0;16,25787263;-4,412242012;37,0479339
1;0;1;1;1;0;23,29921017;-1,503967682;39,35053351
1;0;1;0;0;-6,997325163;10,8414548;0;29,65046826
1;0;0;0;1;2,882272216;10,50809232;-13,86005511;-6,212405173
1;0;1;1;1;-1,086231036;-19,63227587;0;4,346592451
1;0;0;0;1;27,47383247;-28,93783771;29,53307547;15,29600761
1;0;0;0;1;33,86335093;-0,931368685;-23,09539571;-9,96953284
1;0;0;0;1;-2,922526677;12,72996036;-7,827030811;18,94035943
1;0;1;0;0;-18,53647672;0;-37,02439501;14,75659629
1;0;0;0;1;-38,35447978;7,252589489;-10,49837243;32,94868906
1;0;0;1;0;8,14675225;-7,06384198;-15,04532425;22,14512076
1;0;0;0;1;-27,91635282;-16,0418084;31,79930099;-25,0592784
1;0;1;1;1;16,55595577;0;-2,746990609;25,61486702
1;0;1;1;1;16,40256375;6,882721186;0;-24,09025634
1;0;0;1;0;16,8198669;10,48737957;-1,661726609;-0,767549686
1;0;1;1;1;1,34511124;-0,84356456;0;0,636413157
1;0;1;0;0;19,81938972;21,69173486;-13,23059853;0
1;0;0;1;0;-16,96338208;-4,510415621;2,372841925;12,23962501
1;0;1;1;1;11,92843499;0,948195902;0;-15,6263114
1;0;0;1;0;-2,725904671;-16,77625355;-21,9105711;-1,718025654
1;0;0;1;0;0,234038745;22,48064391;-16,85605608;-9,945264362
1;0;1;1;1;-19,71091892;-3,191100167;3,940060708;0
1;0;0;1;0;22,23658867;1,498106673;-10,30323365;-2,637259877
