manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,REC,Rec2Type,RecRT2,Rec2,couleur,training,task,trialId
vs12,amelie,4,4,09Nov2011,1032,mixed,500,438,8000,1,11,4.98408339847,0,L,4,a,1,1083,,,,,,,,,,B,6864,4,Rouge,0,L among T,59
vs12,amelie,4,4,09Nov2011,1032,mixed,500,427,8000,1,12,6.21189680618,0,X,4,a,1,901,,,,,,,,,,A,1368,1,Rouge,0,X among T,60
vs12,amelie,4,4,09Nov2011,1032,mixed,500,440,8000,1,13,2.93674130672,0,X,16,a,1,701,,,,,,,,,,A,1417,2,Rouge,0,X among T,61
vs12,amelie,4,4,09Nov2011,1032,mixed,500,570,8000,1,14,2.58643737209,1,X,4,z,1,784,,,,,,,,,,A,1184,1,Vert,0,X among T,62
vs12,amelie,4,4,09Nov2011,1032,mixed,500,495,8000,1,15,3.52415537852,1,X,8,z,1,668,,,,,,,,,,A,1367,2,Vert,0,X among T,63
vs12,amelie,4,4,09Nov2011,1032,mixed,500,592,8000,1,16,5.82647424137,1,L,4,z,1,1066,,,,,,,,,,A,1600,2,Vert,0,L among T,64
vs12,amelie,4,4,09Nov2011,1032,mixed,500,512,8000,1,17,2.86161313662,1,L,8,a,1,2666,,,,,,,,,,B,2368,4,Rouge,0,L among T,65
vs12,amelie,4,4,09Nov2011,1033,mixed,500,518,8000,1,18,1.49805398151,1,L,8,a,1,2430,,,,,,,,,,B,1432,4,Rouge,0,L among T,66
vs12,amelie,4,4,09Nov2011,1033,mixed,500,409,8000,1,19,6.2517415503,1,L,4,a,1,2167,,,,,,,,,,D,1318,8,Rouge,0,L among T,67
vs12,amelie,4,4,09Nov2011,1033,mixed,500,599,8000,1,20,2.23217114372,0,X,4,a,1,1334,,,,,,,,,,A,1248,1,Rouge,0,X among T,68
vs12,amelie,4,4,09Nov2011,1033,mixed,500,527,8000,1,21,0.584328278603,1,X,8,z,1,701,,,,,,,,,,A,1034,2,Vert,0,X among T,69
vs12,amelie,4,4,09Nov2011,1033,mixed,500,452,8000,1,22,0.458554006372,1,L,8,z,1,2534,,,,,,,,,,A,1084,3,Vert,0,L among T,70
vs12,amelie,4,4,09Nov2011,1033,mixed,500,641,8000,1,23,3.18197291336,1,X,16,a,1,934,,,,,,,,,,A,1050,1,Rouge,0,X among T,71
vs12,amelie,4,4,09Nov2011,1033,mixed,500,416,8000,1,24,0.221318520576,0,X,8,a,1,868,,,,,,,,,,A,1518,1,Rouge,0,X among T,72
vs12,amelie,4,4,09Nov2011,1033,mixed,500,474,8000,1,25,1.99801639284,1,L,4,a,1,1033,,,,,,,,,,A,1248,1,Rouge,0,L among T,73
vs12,amelie,4,4,09Nov2011,1033,mixed,500,661,8000,1,26,0.732101630828,1,X,8,z,0,917,,,,,,,,,,A,3850,3,Rouge,0,X among T,74
vs12,amelie,4,4,09Nov2011,1033,mixed,500,577,8000,1,27,4.62490612008,0,X,8,a,1,951,,,,,,,,,,A,2145,2,Rouge,0,X among T,75
vs12,amelie,4,4,09Nov2011,1033,mixed,500,672,8000,1,28,2.89148639756,0,L,8,a,1,2434,,,,,,,,,,B,2915,4,Rouge,0,L among T,76
vs12,amelie,4,4,09Nov2011,1033,mixed,500,594,8000,1,29,1.21355774805,1,X,16,a,1,1318,,,,,,,,,,A,2482,2,Rouge,0,X among T,77
vs12,amelie,4,4,09Nov2011,1033,mixed,500,450,8000,1,30,5.65820704203,0,L,4,a,1,2183,,,,,,,,,,D,1095,8,Rouge,0,L among T,78
vs12,amelie,4,4,09Nov2011,1033,mixed,500,595,8000,1,31,1.1267278479,1,X,8,z,1,1085,,,,,,,,,,A,1034,2,Vert,0,X among T,79
