manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,training,task,trialId
vs12,benlakhal,1,0,13Dec2010,1354,serial,500,659,200,2,4,0.795441265671,0,L,8,z,0,456,4,3,321,3637,2508,5368,0,L among T,92
vs12,benlakhal,1,0,13Dec2010,1355,serial,500,671,200,2,5,1.53576518936,0,L,4,z,0,529,2,2,332,6557,5599,7897,0,L among T,93
vs12,benlakhal,1,0,13Dec2010,1355,serial,500,649,200,2,6,5.02149032943,1,L,4,a,0,456,1,2,326,12432,6367,14460,0,L among T,94
vs12,benlakhal,1,0,13Dec2010,1355,serial,500,632,200,2,7,1.53043366786,1,L,2,z,1,428,9,1,363,3224,2051,17409,0,L among T,95
vs12,benlakhal,1,0,13Dec2010,1355,serial,500,440,200,2,8,1.84336056695,1,L,2,z,1,399,9,1,348,2506,1679,4222,0,L among T,96
vs12,benlakhal,1,0,13Dec2010,1355,serial,500,537,200,2,9,5.14698036475,0,L,2,z,0,427,9,2,342,2722,2036,5981,0,L among T,97
vs12,benlakhal,1,0,13Dec2010,1355,serial,500,501,200,2,10,0.245860528616,1,L,4,a,0,427,9,3,402,2994,2193,5379,0,L among T,98
vs12,benlakhal,1,0,13Dec2010,1356,serial,500,600,200,2,11,5.22177750768,0,L,12,z,0,484,8,2,365,3980,2795,5049,0,L among T,99
vs12,benlakhal,1,0,13Dec2010,1356,serial,500,547,200,2,12,3.59376364976,1,L,4,z,1,456,9,2,393,3638,2352,7910,0,L among T,100
vs12,benlakhal,1,0,13Dec2010,1356,serial,500,474,200,2,13,3.21235336718,0,L,4,z,0,456,9,2,396,5110,4211,6153,0,L among T,101
vs12,benlakhal,1,0,13Dec2010,1356,serial,500,562,200,2,14,2.04098386828,1,L,2,z,1,499,9,2,377,3194,2565,5977,0,L among T,102
vs12,benlakhal,1,0,13Dec2010,1356,serial,500,587,200,2,15,4.55575817093,1,L,8,z,1,413,9,3,412,2794,1937,3853,0,L among T,103
vs12,benlakhal,1,0,13Dec2010,1356,serial,500,477,200,2,16,2.50720784665,0,L,12,a,1,454,9,3,398,3137,2180,4066,0,L among T,104
vs12,benlakhal,1,0,13Dec2010,1356,serial,500,437,200,2,17,3.66959769996,1,L,4,z,1,428,9,3,383,2728,2013,3714,0,L among T,105
vs12,benlakhal,1,0,13Dec2010,1356,serial,500,506,200,2,18,5.7961246801,0,L,12,z,0,384,9,3,333,2350,1336,3480,0,L among T,106
vs12,benlakhal,1,0,13Dec2010,1356,serial,500,609,200,2,19,5.17424681075,0,L,2,z,0,496,9,1,393,2764,1821,4037,0,L among T,107
vs12,benlakhal,1,0,13Dec2010,1357,serial,500,611,200,2,20,4.64822115907,1,L,12,z,1,413,7,3,376,3146,1816,5506,0,L among T,108
vs12,benlakhal,1,0,13Dec2010,1357,serial,500,589,200,2,21,0.428302436389,0,L,4,z,0,399,8,3,363,4078,2634,5537,0,L among T,109
vs12,benlakhal,1,0,13Dec2010,1357,serial,500,694,200,2,22,5.73736764687,0,L,4,z,0,485,4,1,322,3593,5467,7326,0,L among T,110
vs12,benlakhal,1,0,13Dec2010,1357,serial,500,403,200,2,23,5.18039534762,0,L,8,z,0,499,8,3,386,5839,4595,7426,0,L among T,111
vs12,benlakhal,1,0,13Dec2010,1357,serial,500,621,200,2,24,3.69114194585,1,L,8,a,0,356,1,3,357,4706,2561,7051,0,L among T,112
vs12,benlakhal,1,0,13Dec2010,1357,serial,500,653,200,2,25,1.5586558458,0,L,2,z,0,428,1,2,312,11556,2464,8697,0,L among T,113
vs12,benlakhal,1,0,13Dec2010,1357,serial,500,488,200,2,26,3.93563749769,0,L,8,z,0,443,8,3,356,5525,3094,9230,0,L among T,114
vs12,benlakhal,1,0,13Dec2010,1358,serial,500,662,200,2,27,5.83841349746,0,L,2,a,1,540,9,2,355,3050,1921,4037,0,L among T,115
vs12,benlakhal,1,0,13Dec2010,1358,serial,500,465,200,2,28,4.85499260252,1,L,12,a,0,457,9,3,318,6023,1832,9112,0,L among T,116
vs12,benlakhal,1,0,13Dec2010,1358,serial,500,595,200,2,29,2.64573027329,1,L,2,a,0,742,4,1,286,11600,9197,12601,0,L among T,117
vs12,benlakhal,1,0,13Dec2010,1358,serial,500,664,200,2,30,3.76910208979,0,L,12,z,0,496,7,2,336,3451,1707,9013,0,L among T,118
vs12,benlakhal,1,0,13Dec2010,1359,serial,500,577,200,2,31,2.75704622114,1,L,2,z,1,771,1,1,338,18824,4881,19754,0,L among T,119
vs12,benlakhal,1,0,13Dec2010,1359,serial,500,426,200,2,32,1.77038894711,1,L,12,z,1,399,1,3,327,6027,1436,7426,0,L among T,120
vs12,benlakhal,1,0,13Dec2010,1359,serial,500,578,200,2,33,2.65555869068,1,L,8,z,1,370,7,1,317,3381,1336,4481,0,L among T,121
vs12,benlakhal,1,0,13Dec2010,1359,serial,500,525,200,2,34,0.558224660058,0,L,8,z,0,426,8,2,406,3051,1865,4581,0,L among T,122
vs12,benlakhal,1,0,13Dec2010,1359,serial,500,550,200,2,35,4.29319497325,1,L,12,z,1,385,8,0,333,3818,3005,5206,0,L among T,123
vs12,benlakhal,1,0,13Dec2010,1359,serial,500,495,200,2,36,1.05501573838,0,L,8,z,0,513,9,2,361,5266,1979,9172,0,L among T,124
vs12,benlakhal,1,0,13Dec2010,1359,serial,500,690,200,2,37,5.1739146702,0,L,12,z,0,540,8,1,342,1922,1050,2980,0,L among T,125
vs12,benlakhal,1,0,13Dec2010,1359,serial,500,507,200,2,38,3.25491871537,1,L,8,z,1,399,8,1,345,2350,1578,3389,0,L among T,126
vs12,benlakhal,1,0,13Dec2010,1359,serial,500,599,200,2,39,2.07643413246,1,L,12,z,1,571,5,3,308,2923,2052,4067,0,L among T,127
vs12,benlakhal,1,0,13Dec2010,1400,serial,500,533,200,2,40,1.41374952648,1,L,4,z,1,370,8,1,435,2478,1663,3965,0,L among T,128
vs12,benlakhal,1,0,13Dec2010,1400,serial,500,469,200,3,1,2.26764104107,0,L,2,a,1,457,9,1,315,6082,4738,7240,0,L among T,129
vs12,benlakhal,1,0,13Dec2010,1401,serial,500,492,200,3,2,3.01254303427,1,L,2,a,0,427,2,1,325,3033,1563,4678,0,L among T,130
vs12,benlakhal,1,0,13Dec2010,1401,serial,500,446,200,3,3,2.2443125574,0,L,12,a,1,341,9,1,381,2751,1966,3565,0,L among T,131
vs12,benlakhal,1,0,13Dec2010,1401,serial,500,506,200,3,4,2.32832927575,0,L,12,a,1,542,9,1,348,6026,5184,6999,0,L among T,132
vs12,benlakhal,1,0,13Dec2010,1401,serial,500,577,200,3,5,6.23501572321,1,L,2,z,1,427,10,1,331,2379,1678,5325,0,L among T,133
vs12,benlakhal,1,0,13Dec2010,1401,serial,500,689,200,3,6,0.933848902598,1,L,12,z,1,527,9,2,332,8328,6987,15458,0,L among T,134
vs12,benlakhal,1,0,13Dec2010,1401,serial,500,658,200,3,7,1.32436225296,0,L,8,z,0,443,8,2,376,3366,1808,6983,0,L among T,135
vs12,benlakhal,1,0,13Dec2010,1401,serial,500,657,200,3,8,5.98906987705,0,L,4,z,0,342,6,2,338,2550,1264,6882,0,L among T,136
vs12,benlakhal,1,0,13Dec2010,1402,serial,500,531,200,3,9,1.65962092058,0,L,8,z,0,342,8,1,397,2079,1021,3237,0,L among T,137
vs12,benlakhal,1,0,13Dec2010,1402,serial,500,532,200,3,10,3.28332112026,0,L,2,z,0,425,9,1,308,16393,15339,18382,0,L among T,138
vs12,benlakhal,1,0,13Dec2010,1402,serial,500,557,200,3,11,0.470556529026,1,L,8,z,1,671,9,5,418,1593,4361,10211,0,L among T,139
vs12,benlakhal,1,0,13Dec2010,1402,serial,500,575,200,3,12,1.02471866989,0,L,12,z,0,1129,4,1,351,7470,8542,9957,0,L among T,140
vs12,benlakhal,1,0,13Dec2010,1403,serial,500,584,200,3,13,2.06575300255,1,L,8,z,1,355,1,2,376,13429,1565,9915,0,L among T,141
vs12,benlakhal,1,0,13Dec2010,1403,serial,500,604,200,3,14,2.60298012044,1,L,8,z,1,499,9,2,355,2880,1794,5794,0,L among T,142
vs12,benlakhal,1,0,13Dec2010,1403,serial,500,532,200,3,15,2.93701985059,1,L,12,z,1,413,8,3,375,2579,1550,11060,0,L among T,143
vs12,benlakhal,1,0,13Dec2010,1403,serial,500,447,200,3,16,1.23092642118,1,L,2,z,1,413,9,2,368,2151,1365,3080,0,L among T,144
vs12,benlakhal,1,0,13Dec2010,1403,serial,500,416,200,3,17,3.92076702481,1,L,12,z,1,399,9,3,385,2136,1007,5049,0,L among T,145
vs12,benlakhal,1,0,13Dec2010,1403,serial,500,410,200,3,18,4.63959042237,0,L,8,z,0,700,8,2,345,2393,1221,7424,0,L among T,146
vs12,benlakhal,1,0,13Dec2010,1403,serial,500,658,200,3,19,5.39451579447,0,L,2,z,0,4557,9,0,308,2565,5783,7082,0,L among T,147
vs12,benlakhal,1,0,13Dec2010,1404,serial,500,501,200,3,20,2.94093248441,1,L,4,z,1,342,9,1,408,4797,2952,5951,0,L among T,148
vs12,benlakhal,1,0,13Dec2010,1404,serial,500,614,200,3,21,5.77971772482,1,L,8,z,1,513,9,3,333,2036,1149,3007,0,L among T,149
vs12,benlakhal,1,0,13Dec2010,1404,serial,500,597,200,3,22,5.4992974031,0,L,4,z,0,413,8,1,381,2420,1662,3692,0,L among T,150
vs12,benlakhal,1,0,13Dec2010,1404,serial,500,491,200,3,23,0.413402399253,0,L,4,z,0,442,2,1,375,21236,10773,20209,0,L among T,151
vs12,benlakhal,1,0,13Dec2010,1404,serial,500,552,200,3,24,5.13016275738,0,L,2,z,0,428,9,2,393,2207,1436,5923,0,L among T,152
vs12,benlakhal,1,0,13Dec2010,1404,serial,500,692,200,3,25,1.95052663584,0,L,4,z,0,370,9,2,396,2165,1207,3437,0,L among T,153
vs12,benlakhal,1,0,13Dec2010,1405,serial,500,478,200,3,26,1.47520620241,1,L,4,z,1,480,0,1,376,15492,5170,10303,0,L among T,154
vs12,benlakhal,1,0,13Dec2010,1405,serial,500,561,200,3,27,5.21781691504,1,L,12,a,0,385,9,3,426,2036,1336,2880,0,L among T,155
vs12,benlakhal,1,0,13Dec2010,1405,serial,500,462,200,3,28,4.73479568985,0,L,8,z,0,213,8,1,420,3905,2305,3262,0,L among T,156
vs12,benlakhal,1,0,13Dec2010,1405,serial,500,566,200,3,29,2.99533652607,0,L,2,z,0,427,6,1,351,9057,7055,10273,0,L among T,157
vs12,benlakhal,1,0,13Dec2010,1405,serial,500,660,200,3,30,0.687619877352,0,L,4,z,0,514,9,2,386,28958,26012,31504,0,L among T,158
vs12,benlakhal,1,0,13Dec2010,1406,serial,500,652,200,3,31,2.92608566109,1,L,4,z,1,299,8,1,332,2808,1793,3866,0,L among T,159
vs12,benlakhal,1,0,13Dec2010,1406,serial,500,496,200,3,32,4.62088822002,1,L,4,z,1,399,9,1,393,1789,920,2675,0,L among T,160
vs12,benlakhal,1,0,13Dec2010,1406,serial,500,496,200,3,33,0.980103012543,0,L,8,z,0,428,9,1,316,2580,1351,3552,0,L among T,161
vs12,benlakhal,1,0,13Dec2010,1406,serial,500,700,200,3,34,5.51751738138,1,L,4,z,1,325,9,0,312,2981,2180,3938,0,L among T,162
vs12,benlakhal,1,0,13Dec2010,1406,serial,500,669,200,3,35,0.168756594042,1,L,2,z,1,342,9,0,308,3836,2536,5967,0,L among T,163
vs12,benlakhal,1,0,13Dec2010,1406,serial,500,537,200,3,36,1.17169338566,1,L,8,z,1,427,9,1,308,1778,7797,8612,0,L among T,164
vs12,benlakhal,1,0,13Dec2010,1406,serial,500,545,200,3,37,5.21065017364,1,L,12,z,1,385,9,2,313,4147,2147,3033,0,L among T,165
vs12,benlakhal,1,0,13Dec2010,1406,serial,500,673,200,3,38,3.55537102799,0,L,12,z,0,771,9,1,342,9636,7670,8484,0,L among T,166
vs12,benlakhal,1,0,13Dec2010,1407,serial,500,422,200,3,39,4.6105233604,0,L,12,z,0,528,9,2,365,11247,10189,12519,0,L among T,167
vs12,benlakhal,1,0,13Dec2010,1407,serial,500,476,200,3,40,5.09168881946,1,L,2,z,1,456,9,1,367,1545,817,2331,0,L among T,168
vs12,benlakhal,1,0,13Dec2010,1408,serial,500,672,200,4,1,3.35745495347,0,L,12,z,0,370,9,2,340,2562,1347,3819,0,L among T,169
vs12,benlakhal,1,0,13Dec2010,1408,serial,500,514,200,4,2,1.49304732071,0,L,4,z,0,485,1,0,295,2336,1393,3263,0,L among T,170
vs12,benlakhal,1,0,13Dec2010,1408,serial,500,536,200,4,3,4.39096070928,1,L,4,z,1,370,0,1,307,3250,1851,2537,0,L among T,171
vs12,benlakhal,1,0,13Dec2010,1408,serial,500,453,200,4,4,2.86521212852,1,L,12,z,1,484,2,0,262,3676,2034,2748,0,L among T,172
vs12,benlakhal,1,0,13Dec2010,1408,serial,500,697,200,4,5,5.59688676808,1,L,2,z,1,399,10,0,323,3409,1551,4346,0,L among T,173
vs12,benlakhal,1,0,13Dec2010,1408,serial,500,533,200,4,6,1.66025548157,0,L,4,z,0,385,9,1,341,1922,1264,3166,0,L among T,174
