manip subject session order mm tm trialType iti fixDur stimDur nBlock nTrial alpha present targType nItems resp acc rt confidence estNItems estTime confidenceRT estNItemsRT estTimeRT
vs12 benlakhal 1 0 13Dec2010 1403 serial 500 532 200 3 15 2.93701985059 True L 12 z 1 413 8 3 375 2579 1550 11060
vs12 benlakhal 1 0 13Dec2010 1403 serial 500 447 200 3 16 1.23092642118 True L 2 z 1 413 9 2 368 2151 1365 3080
vs12 benlakhal 1 0 13Dec2010 1403 serial 500 416 200 3 17 3.92076702481 True L 12 z 1 399 9 3 385 2136 1007 5049
vs12 benlakhal 1 0 13Dec2010 1403 serial 500 410 200 3 18 4.63959042237 False L 8 z 0 700 8 2 345 2393 1221 7424
vs12 benlakhal 1 0 13Dec2010 1403 serial 500 658 200 3 19 5.39451579447 False L 2 z 0 4557 9 0 308 2565 5783 7082
vs12 benlakhal 1 0 13Dec2010 1404 serial 500 501 200 3 20 2.94093248441 True L 4 z 1 342 9 1 408 4797 2952 5951
vs12 benlakhal 1 0 13Dec2010 1404 serial 500 614 200 3 21 5.77971772482 True L 8 z 1 513 9 3 333 2036 1149 3007
vs12 benlakhal 1 0 13Dec2010 1404 serial 500 597 200 3 22 5.4992974031 False L 4 z 0 413 8 1 381 2420 1662 3692
vs12 benlakhal 1 0 13Dec2010 1404 serial 500 491 200 3 23 0.413402399253 False L 4 z 0 442 2 1 375 21236 10773 20209
vs12 benlakhal 1 0 13Dec2010 1404 serial 500 552 200 3 24 5.13016275738 False L 2 z 0 428 9 2 393 2207 1436 5923
vs12 benlakhal 1 0 13Dec2010 1404 serial 500 692 200 3 25 1.95052663584 False L 4 z 0 370 9 2 396 2165 1207 3437
vs12 benlakhal 1 0 13Dec2010 1405 serial 500 478 200 3 26 1.47520620241 True L 4 z 1 480 0 1 376 15492 5170 10303
vs12 benlakhal 1 0 13Dec2010 1405 serial 500 561 200 3 27 5.21781691504 True L 12 a 0 385 9 3 426 2036 1336 2880
vs12 benlakhal 1 0 13Dec2010 1405 serial 500 462 200 3 28 4.73479568985 False L 8 z 0 213 8 1 420 3905 2305 3262
vs12 benlakhal 1 0 13Dec2010 1405 serial 500 566 200 3 29 2.99533652607 False L 2 z 0 427 6 1 351 9057 7055 10273
vs12 benlakhal 1 0 13Dec2010 1405 serial 500 660 200 3 30 0.687619877352 False L 4 z 0 514 9 2 386 28958 26012 31504
vs12 benlakhal 1 0 13Dec2010 1406 serial 500 652 200 3 31 2.92608566109 True L 4 z 1 299 8 1 332 2808 1793 3866
vs12 benlakhal 1 0 13Dec2010 1406 serial 500 496 200 3 32 4.62088822002 True L 4 z 1 399 9 1 393 1789 920 2675
vs12 benlakhal 1 0 13Dec2010 1406 serial 500 496 200 3 33 0.980103012543 False L 8 z 0 428 9 1 316 2580 1351 3552
vs12 benlakhal 1 0 13Dec2010 1406 serial 500 700 200 3 34 5.51751738138 True L 4 z 1 325 9 0 312 2981 2180 3938
