manip;subject;session;order;mm;tm;trialType;iti;fixDur;stimDur;nBlock;nTrial;alpha;present;targType;nItems;resp;acc;rt;confidence;estNItems;estTime;confidenceRT;estNItemsRT;estTimeRT;RecRT;Erreur;PostTest;Rec2Type;RecRT2;Rec2;couleur;Prime;CordCible;CordPrime;Yes/No;AV/AP;Diff;PostTest;RECORDING_SESSION_LABEL;AVERAGE_FIXATION_DURATION;AVERAGE_SACCADE_AMPLITUDE;BLINK_COUNT;BUTTON_PRESS_COUNT;FIXATION_COUNT;IP_DURATION;SACCADE_COUNT;;
vs12;am;4;2;08Feb2013;1033;mixed;500;400;2000;2;8;2.12922482789;False;L;4;z;1;311;None;None;None;None;None;None;None;None;None;A;1192;1;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1040;mixed;500;400;2000;3;34;3.58722119308;False;X;16;z;1;411;None;None;None;None;None;None;None;None;None;A;1482;3;Vert;0;11;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1051;mixed;500;400;2000;6;18;1.33804357109;False;L;16;a;1;642;None;None;None;None;None;None;None;None;None;C;1114;6;Rouge;0;10;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1057;mixed;500;400;2000;7;23;2.30793078627;True;X;4;z;1;412;None;None;None;None;None;None;None;None;None;C;1536;6;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1041;mixed;500;400;2000;4;5;5.99231888102;True;X;16;a;1;494;None;None;None;None;None;None;None;None;None;A;882;3;Rouge;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1035;mixed;500;400;2000;2;32;1.00502654336;True;L;4;z;1;604;None;None;None;None;None;None;None;None;None;A;1250;0;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1051;mixed;500;400;2000;6;12;1.77710266346;False;X;8;z;1;519;None;None;None;None;None;None;None;None;None;A;760;0;Vert;0;4;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1035;mixed;500;400;2000;2;29;3.96261074944;False;X;16;a;0;889;None;None;None;None;None;None;None;None;None;D;1895;8;Vert;0;15;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1038;mixed;500;400;2000;3;17;2.39100838977;False;L;16;a;1;598;None;None;None;None;None;None;None;None;None;C;1773;6;Rouge;0;15;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1102;mixed;500;400;2000;8;26;3.19360139345;True;X;8;a;1;1012;None;None;None;None;None;None;None;None;None;A;1967;1;Rouge;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1041;mixed;500;400;2000;4;3;6.25212186072;False;L;4;z;1;527;None;None;None;None;None;None;None;None;None;A;3026;1;Vert;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1035;mixed;500;400;2000;2;30;2.1565956801;True;L;8;z;1;570;None;None;None;None;None;None;None;None;None;A;1498;2;Vert;0;6;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1040;mixed;500;400;2000;3;33;5.22290975722;False;X;8;a;1;493;None;None;None;None;None;None;None;None;None;A;2082;3;Rouge;0;6;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1042;mixed;500;400;2000;4;13;5.87411057832;False;X;8;z;1;422;None;None;None;None;None;None;None;None;None;A;3107;1;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1101;mixed;500;400;2000;8;20;3.30934072839;False;L;8;a;1;423;None;None;None;None;None;None;None;None;None;D;642;8;Rouge;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1046;mixed;500;400;2000;5;13;0.504265652017;True;L;8;a;1;1058;None;None;None;None;None;None;None;None;None;A;852;1;Rouge;0;7;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1046;mixed;500;400;2000;5;17;3.21121703951;False;L;4;a;1;388;None;None;None;None;None;None;None;None;None;A;3451;3;Rouge;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1015;Ent1;500;400;2000;1;1;6.2046652616;False;L;8;z;1;2866;None;None;None;None;None;None;None;None;None;None;None;None;Vert;0;8;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1025;Ent2;500;400;2000;1;6;2.39146512254;True;L;8;a;1;648;None;None;None;None;None;None;None;None;None;B;3129;4;Rouge;0;8;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1038;mixed;500;400;2000;3;22;1.44884434302;True;X;4;a;1;436;None;None;None;None;None;None;None;None;None;A;1170;3;Rouge;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1055;mixed;500;400;2000;7;3;5.32113673926;True;X;8;z;1;1391;None;None;None;None;None;None;None;None;None;A;1135;3;Vert;0;6;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1025;Ent2;500;400;2000;1;10;1.98014499471;True;L;16;a;0;673;None;None;None;None;None;None;None;None;None;B;3012;5;Vert;0;10;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1042;mixed;500;400;2000;4;11;3.00849415978;False;L;4;z;1;427;None;None;None;None;None;None;None;None;None;A;939;1;Vert;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1056;mixed;500;400;2000;7;10;2.64999842725;True;X;4;a;1;421;None;None;None;None;None;None;None;None;None;A;1029;2;Rouge;0;1;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1025;Ent2;500;400;2000;1;7;0.973447308234;True;X;8;a;1;695;None;None;None;None;None;None;None;None;None;B;2551;5;Rouge;0;4;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1029;mixed;500;400;2000;1;18;2.06782604813;False;L;16;a;0;654;None;None;None;None;None;None;None;None;None;C;1612;6;Vert;0;9;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1045;mixed;500;400;2000;5;2;3.94370490784;True;X;4;a;1;328;None;None;None;None;None;None;None;None;None;A;959;1;Rouge;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
