manip;subject;session;order;mm;tm;trialType;iti;fixDur;stimDur;nBlock;nTrial;alpha;present;targType;nItems;resp;acc;rt;confidence;estNItems;estTime;confidenceRT;estNItemsRT;estTimeRT
vs12;benlakhal;1;0;13Dec2010;1352;serial;500;425;200;1;36;0.087553707;True;L;2;a;0;400;4;2;341;4482;1864;5811
vs12;benlakhal;1;0;13Dec2010;1352;serial;500;630;200;1;37;5.971875968;False;L;2;z;0;399;7;1;326;8885;13562;15033
vs12;benlakhal;1;0;13Dec2010;1353;serial;500;613;200;1;38;0.926892549;False;L;4;a;1;442;0;1;291;15794;12620;16881
vs12;benlakhal;1;0;13Dec2010;1353;serial;500;572;200;1;39;0.842314015;False;L;8;z;0;399;1;4;336;3705;2709;4420
vs12;benlakhal;1;0;13Dec2010;1353;serial;500;602;200;1;40;0.058197957;True;L;8;z;1;413;9;2;367;5897;2452;6926
vs12;benlakhal;1;0;13Dec2010;1354;serial;500;541;200;2;1;4.511343615;True;L;8;a;0;442;0;2;333;4135;3134;5351
vs12;benlakhal;1;0;13Dec2010;1354;serial;500;677;200;2;2;3.628911263;False;L;4;z;0;428;1;2;360;5606;4633;6663
vs12;benlakhal;1;0;13Dec2010;1354;serial;500;561;200;2;3;1.861365003;False;L;2;z;0;484;8;1;333;6926;6398;8242
vs12;benlakhal;1;0;13Dec2010;1354;serial;500;659;200;2;4;0.795441266;False;L;8;z;0;456;4;3;321;3637;2508;5368
vs12;benlakhal;1;0;13Dec2010;1355;serial;500;671;200;2;5;1.535765189;False;L;4;z;0;529;2;2;332;6557;5599;7897
vs12;benlakhal;1;0;13Dec2010;1355;serial;500;649;200;2;6;5.021490329;True;L;4;a;0;456;1;2;326;12432;6367;14460
vs12;benlakhal;1;0;13Dec2010;1355;serial;500;632;200;2;7;1.530433668;True;L;2;z;1;428;9;1;363;3224;2051;17409
vs12;benlakhal;1;0;13Dec2010;1355;serial;500;440;200;2;8;1.843360567;True;L;2;z;1;399;9;1;348;2506;1679;4222
vs12;benlakhal;1;0;13Dec2010;1355;serial;500;537;200;2;9;5.146980365;False;L;2;z;0;427;9;2;342;2722;2036;5981
vs12;benlakhal;1;0;13Dec2010;1355;serial;500;501;200;2;10;0.245860529;True;L;4;a;0;427;9;3;402;2994;2193;5379
vs12;benlakhal;1;0;13Dec2010;1356;serial;500;600;200;2;11;5.221777508;False;L;12;z;0;484;8;2;365;3980;2795;5049
vs12;benlakhal;1;0;13Dec2010;1356;serial;500;547;200;2;12;3.59376365;True;L;4;z;1;456;9;2;393;3638;2352;7910
vs12;benlakhal;1;0;13Dec2010;1356;serial;500;474;200;2;13;3.212353367;False;L;4;z;0;456;9;2;396;5110;4211;6153
vs12;benlakhal;1;0;13Dec2010;1356;serial;500;562;200;2;14;2.040983868;True;L;2;z;1;499;9;2;377;3194;2565;5977
vs12;benlakhal;1;0;13Dec2010;1356;serial;500;587;200;2;15;4.555758171;True;L;8;z;1;413;9;3;412;2794;1937;3853
vs12;benlakhal;1;0;13Dec2010;1356;serial;500;477;200;2;16;2.507207847;False;L;12;a;1;454;9;3;398;3137;2180;4066
vs12;benlakhal;1;0;13Dec2010;1356;serial;500;437;200;2;17;3.6695977;True;L;4;z;1;428;9;3;383;2728;2013;3714
vs12;benlakhal;1;0;13Dec2010;1356;serial;500;506;200;2;18;5.79612468;False;L;12;z;0;384;9;3;333;2350;1336;3480
vs12;benlakhal;1;0;13Dec2010;1356;serial;500;609;200;2;19;5.174246811;False;L;2;z;0;496;9;1;393;2764;1821;4037
vs12;benlakhal;1;0;13Dec2010;1357;serial;500;611;200;2;20;4.648221159;True;L;12;z;1;413;7;3;376;3146;1816;5506
vs12;benlakhal;1;0;13Dec2010;1357;serial;500;589;200;2;21;0.428302436;False;L;4;z;0;399;8;3;363;4078;2634;5537
vs12;benlakhal;1;0;13Dec2010;1357;serial;500;694;200;2;22;5.737367647;False;L;4;z;0;485;4;1;322;3593;5467;7326
vs12;benlakhal;1;0;13Dec2010;1357;serial;500;403;200;2;23;5.180395348;False;L;8;z;0;499;8;3;386;5839;4595;7426
vs12;benlakhal;1;0;13Dec2010;1357;serial;500;621;200;2;24;3.691141946;True;L;8;a;0;356;1;3;357;4706;2561;7051
vs12;benlakhal;1;0;13Dec2010;1357;serial;500;653;200;2;25;1.558655846;False;L;2;z;0;428;1;2;312;11556;2464;8697
vs12;benlakhal;1;0;13Dec2010;1357;serial;500;488;200;2;26;3.935637498;False;L;8;z;0;443;8;3;356;5525;3094;9230
vs12;benlakhal;1;0;13Dec2010;1358;serial;500;662;200;2;27;5.838413497;False;L;2;a;1;540;9;2;355;3050;1921;4037
vs12;benlakhal;1;0;13Dec2010;1358;serial;500;465;200;2;28;4.854992603;True;L;12;a;0;457;9;3;318;6023;1832;9112
vs12;benlakhal;1;0;13Dec2010;1358;serial;500;595;200;2;29;2.645730273;True;L;2;a;0;742;4;1;286;11600;9197;12601
vs12;benlakhal;1;0;13Dec2010;1358;serial;500;664;200;2;30;3.76910209;False;L;12;z;0;496;7;2;336;3451;1707;9013
vs12;benlakhal;1;0;13Dec2010;1359;serial;500;577;200;2;31;2.757046221;True;L;2;z;1;771;1;1;338;18824;4881;19754
vs12;benlakhal;1;0;13Dec2010;1359;serial;500;426;200;2;32;1.770388947;True;L;12;z;1;399;1;3;327;6027;1436;7426
vs12;benlakhal;1;0;13Dec2010;1359;serial;500;578;200;2;33;2.655558691;True;L;8;z;1;370;7;1;317;3381;1336;4481
vs12;benlakhal;1;0;13Dec2010;1359;serial;500;525;200;2;34;0.55822466;False;L;8;z;0;426;8;2;406;3051;1865;4581
vs12;benlakhal;1;0;13Dec2010;1359;serial;500;550;200;2;35;4.293194973;True;L;12;z;1;385;8;0;333;3818;3005;5206
vs12;benlakhal;1;0;13Dec2010;1359;serial;500;495;200;2;36;1.055015738;False;L;8;z;0;513;9;2;361;5266;1979;9172
vs12;benlakhal;1;0;13Dec2010;1359;serial;500;690;200;2;37;5.17391467;False;L;12;z;0;540;8;1;342;1922;1050;2980
vs12;benlakhal;1;0;13Dec2010;1359;serial;500;507;200;2;38;3.254918715;True;L;8;z;1;399;8;1;345;2350;1578;3389
vs12;benlakhal;1;0;13Dec2010;1359;serial;500;599;200;2;39;2.076434132;True;L;12;z;1;571;5;3;308;2923;2052;4067
vs12;benlakhal;1;0;13Dec2010;1400;serial;500;533;200;2;40;1.413749526;True;L;4;z;1;370;8;1;435;2478;1663;3965
vs12;benlakhal;1;0;13Dec2010;1400;serial;500;469;200;3;1;2.267641041;False;L;2;a;1;457;9;1;315;6082;4738;7240
vs12;benlakhal;1;0;13Dec2010;1401;serial;500;492;200;3;2;3.012543034;True;L;2;a;0;427;2;1;325;3033;1563;4678
vs12;benlakhal;1;0;13Dec2010;1401;serial;500;446;200;3;3;2.244312557;False;L;12;a;1;341;9;1;381;2751;1966;3565
vs12;benlakhal;1;0;13Dec2010;1401;serial;500;506;200;3;4;2.328329276;False;L;12;a;1;542;9;1;348;6026;5184;6999
vs12;benlakhal;1;0;13Dec2010;1401;serial;500;577;200;3;5;6.235015723;True;L;2;z;1;427;10;1;331;2379;1678;5325
