manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,Rec2Type,RecRT2,Rec2,couleur,Prime,CordCible,CordPrime,Yes/No,AV/AP,Diff,PostTest,RECORDING_SESSION_LABEL,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,BLINK_COUNT,BUTTON_PRESS_COUNT,FIXATION_COUNT,IP_DURATION,SACCADE_COUNT,V48,V49,training,task,trialId
vs12,am,4,2,08Feb2013,1050,mixed,500,400,2000,6,2,5.33827969841,1,X,8,z,1,356,,,,,,,,,A,1610,1,Vert,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,36
vs12,am,4,2,08Feb2013,1053,mixed,500,400,2000,6,35,4.79400164698,1,X,4,a,1,281,,,,,,,,,A,882,3,Rouge,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,37
vs12,am,4,2,08Feb2013,1038,mixed,500,400,2000,3,20,3.83107507771,0,X,4,z,1,392,,,,,,,,,A,1009,1,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,38
vs12,am,4,2,08Feb2013,1033,mixed,500,400,2000,2,8,2.12922482789,0,L,4,z,1,311,,,,,,,,,A,1192,1,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,39
vs12,am,4,2,08Feb2013,1040,mixed,500,400,2000,3,34,3.58722119308,0,X,16,z,1,411,,,,,,,,,A,1482,3,Vert,0,11,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,40
vs12,am,4,2,08Feb2013,1051,mixed,500,400,2000,6,18,1.33804357109,0,L,16,a,1,642,,,,,,,,,C,1114,6,Rouge,0,10,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,41
vs12,am,4,2,08Feb2013,1057,mixed,500,400,2000,7,23,2.30793078627,1,X,4,z,1,412,,,,,,,,,C,1536,6,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,42
vs12,am,4,2,08Feb2013,1041,mixed,500,400,2000,4,5,5.99231888102,1,X,16,a,1,494,,,,,,,,,A,882,3,Rouge,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,43
vs12,am,4,2,08Feb2013,1035,mixed,500,400,2000,2,32,1.00502654336,1,L,4,z,1,604,,,,,,,,,A,1250,0,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,44
vs12,am,4,2,08Feb2013,1051,mixed,500,400,2000,6,12,1.77710266346,0,X,8,z,1,519,,,,,,,,,A,760,0,Vert,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,45
